"Label (Grouping)","Chicago city, Illinois!!Estimate","Chicago city, Illinois!!Margin of Error"
"Total:","1,430,663","±21,052"
"    Living in a place:","1,430,663","±21,052"
"        Worked in place of residence","1,085,613","±21,471"
"        Worked outside place of residence","345,050","±13,809"
"    Not living in a place","0","±208"
"    Male:","726,448","±14,024"
"        Living in a place:","726,448","±14,024"
"            Worked in place of residence","537,799","±14,411"
"            Worked outside place of residence","188,649","±9,836"
"        Not living in a place","0","±208"
"    Female:","704,215","±13,964"
"        Living in a place:","704,215","±13,964"
"            Worked in place of residence","547,814","±13,572"
"            Worked outside place of residence","156,401","±7,858"
"        Not living in a place","0","±208"
