"Label (Grouping)","Chicago-Naperville-Elgin, IL-IN Metro Area!!Estimate","Chicago-Naperville-Elgin, IL-IN Metro Area!!Margin of Error"
"Total:","6,067,410","±6,002"
"    Male:","3,030,639","±4,723"
"        Worked in the past 12 months:","2,524,765","±13,779"
"            Usually worked 35 or more hours per week:","2,121,854","±14,660"
"                50 to 52 weeks","1,846,936","±16,328"
"                48 and 49 weeks","31,169","±3,153"
"                40 to 47 weeks","75,462","±5,394"
"                27 to 39 weeks","58,450","±4,244"
"                14 to 26 weeks","49,515","±4,801"
"                1 to 13 weeks","60,322","±5,024"
"            Usually worked 15 to 34 hours per week:","302,958","±10,661"
"                50 to 52 weeks","158,868","±8,733"
"                48 and 49 weeks","6,717","±1,550"
"                40 to 47 weeks","24,328","±3,293"
"                27 to 39 weeks","27,818","±3,213"
"                14 to 26 weeks","34,258","±3,512"
"                1 to 13 weeks","50,969","±5,236"
"            Usually worked 1 to 14 hours per week:","99,953","±5,797"
"                50 to 52 weeks","35,742","±3,750"
"                48 and 49 weeks","2,727","±879"
"                40 to 47 weeks","7,344","±1,677"
"                27 to 39 weeks","7,971","±1,659"
"                14 to 26 weeks","15,584","±2,333"
"                1 to 13 weeks","30,585","±3,509"
"        Did not work in the past 12 months","505,874","±14,440"
"    Female:","3,036,771","±3,750"
"        Worked in the past 12 months:","2,349,526","±15,440"
"            Usually worked 35 or more hours per week:","1,699,027","±13,602"
"                50 to 52 weeks","1,488,096","±14,975"
"                48 and 49 weeks","19,958","±2,976"
"                40 to 47 weeks","65,709","±4,840"
"                27 to 39 weeks","43,484","±4,572"
"                14 to 26 weeks","37,932","±3,624"
"                1 to 13 weeks","43,848","±3,996"
"            Usually worked 15 to 34 hours per week:","497,858","±12,378"
"                50 to 52 weeks","306,933","±10,564"
"                48 and 49 weeks","9,274","±1,921"
"                40 to 47 weeks","36,883","±3,797"
"                27 to 39 weeks","41,525","±4,549"
"                14 to 26 weeks","45,413","±4,201"
"                1 to 13 weeks","57,830","±4,512"
"            Usually worked 1 to 14 hours per week:","152,641","±7,562"
"                50 to 52 weeks","55,201","±4,555"
"                48 and 49 weeks","3,463","±1,189"
"                40 to 47 weeks","14,321","±2,051"
"                27 to 39 weeks","19,337","±2,616"
"                14 to 26 weeks","23,083","±2,580"
"                1 to 13 weeks","37,236","±3,979"
"        Did not work in the past 12 months","687,245","±16,518"
