sample,year,geo,baseline,n48,n50,n51,n49,base_sum,ratio,lo,hi,se
all_verified,1998,chicago,original,27,569,11,13.0,109.0,0.7155963302752293,0.40262517200720926,1.2718482189042217,0.29342356560045146
all_verified,1998,chicago,skip_51,27,569,11,13.0,108.0,0.7222222222222222,0.4062379395227127,1.2839887354795971,0.2935682819759931
all_verified,1998,cook_ex_chicago,original,31,704,16,21.0,107.0,1.177570093457944,0.7376054807887524,1.8799634237041263,0.2386730860645393
all_verified,1998,cook_ex_chicago,skip_51,31,704,16,21.0,113.0,1.1150442477876108,0.6998682767654,1.7765109747087569,0.23763123772175138
all_verified,1998,illinois_ex_cook,original,76,1319,24,46.0,320.0,0.8624999999999999,0.6331929625327137,1.174849207142864,0.15768364035239232
all_verified,1998,illinois_ex_cook,skip_51,76,1319,24,46.0,338.0,0.8165680473372781,0.6000940228113271,1.1111315070402819,0.15715505183238435
all_verified,1999,chicago,original,28,589,10,13.0,111.0,0.7027027027027027,0.39558911065755314,1.248242368362712,0.29314175057825853
all_verified,1999,chicago,skip_51,28,589,10,13.0,119.0,0.6554621848739496,0.36974408265298514,1.1619676851000524,0.2921068952757102
all_verified,1999,cook_ex_chicago,original,35,685,18,23.0,112.0,1.232142857142857,0.7866758921001515,1.9298621397373195,0.2289253858752599
all_verified,1999,cook_ex_chicago,skip_51,35,685,18,23.0,114.0,1.2105263157894737,0.7733933832396229,1.8947329948448952,0.22858300613590377
all_verified,1999,illinois_ex_cook,original,84,1351,38,47.0,348.0,0.8103448275862069,0.5975688877371303,1.0988837489219863,0.1554032141336583
all_verified,1999,illinois_ex_cook,skip_51,84,1351,38,47.0,352.0,0.8011363636363636,0.5909000405328602,1.0861726673122543,0.15529811600785742
all_verified,2000,chicago,original,27,579,10,13.0,109.0,0.7155963302752293,0.40262517200720926,1.2718482189042217,0.29342356560045146
all_verified,2000,chicago,skip_51,27,579,10,13.0,117.0,0.6666666666666666,0.37588337845413544,1.1823998344174578,0.2923526731023431
all_verified,2000,cook_ex_chicago,original,35,687,17,25.0,113.0,1.3274336283185841,0.860750608056659,2.047143529261442,0.22101936006179163
all_verified,2000,cook_ex_chicago,skip_51,35,687,17,25.0,116.0,1.293103448275862,0.8393421480727851,1.992175100204696,0.22050099694825057
all_verified,2000,illinois_ex_cook,original,80,1364,40,44.0,358.0,0.7374301675977654,0.5391847570866396,1.0085657002278472,0.15975158470781503
all_verified,2000,illinois_ex_cook,skip_51,80,1364,40,44.0,363.0,0.7272727272727273,0.5318835410767468,0.9944387802712451,0.15963111746746575
all_verified,2001,chicago,original,30,613,11,13.0,100.0,0.7799999999999999,0.4376557361493842,1.390133727831082,0.29482719841133537
all_verified,2001,chicago,skip_51,30,613,11,13.0,105.0,0.7428571428571429,0.41747617153750394,1.3218400769115592,0.29401851378252775
all_verified,2001,cook_ex_chicago,original,33,669,15,18.0,117.0,0.9230769230769231,0.5619822588077116,1.5161884428965673,0.25318484177091666
all_verified,2001,cook_ex_chicago,skip_51,33,669,15,18.0,118.0,0.9152542372881355,0.5573759870791233,1.5029178477238037,0.25304175905716036
all_verified,2001,illinois_ex_cook,original,90,1442,31,55.0,367.0,0.899182561307902,0.6772817374927085,1.1937857376066388,0.14459119552083782
all_verified,2001,illinois_ex_cook,skip_51,90,1442,31,55.0,385.0,0.8571428571428571,0.6461751589101701,1.1369887365991362,0.14414999403128945
all_verified,2002,chicago,original,29,572,12,15.0,92.0,0.9782608695652174,0.5668008082568057,1.688413839538671,0.2784532849223689
all_verified,2002,chicago,skip_51,29,572,12,15.0,93.0,0.967741935483871,0.5609369523168735,1.6695716868462354,0.27824333745610097
all_verified,2002,cook_ex_chicago,original,28,668,12,14.0,108.0,0.7777777777777778,0.4457200316764737,1.3572158050191319,0.2840560344154489
all_verified,2002,cook_ex_chicago,skip_51,28,668,12,14.0,112.0,0.75,0.4302925951868847,1.3072500114850802,0.2834733547569204
all_verified,2002,illinois_ex_cook,original,92,1418,37,60.0,359.0,1.0027855153203342,0.7629355864819456,1.3180389112181814,0.13947107939282943
all_verified,2002,illinois_ex_cook,skip_51,92,1418,37,60.0,374.0,0.9625668449197861,0.7329125006297976,1.2641821911110158,0.13906999481595775
all_verified,2003,chicago,original,27,585,13,17.0,93.0,1.096774193548387,0.6540170602803749,1.839269500275772,0.26377304180641303
all_verified,2003,chicago,skip_51,27,585,13,17.0,93.0,1.096774193548387,0.6540170602803749,1.839269500275772,0.26377304180641303
all_verified,2003,cook_ex_chicago,original,31,669,12,16.0,114.0,0.8421052631578947,0.49902075116262484,1.4210657023501745,0.26696803146549475
all_verified,2003,cook_ex_chicago,skip_51,31,669,12,16.0,117.0,0.8205128205128205,0.48662728378110803,1.383484467608967,0.26654644726015114
all_verified,2003,illinois_ex_cook,original,91,1420,34,59.0,354.0,1.0,0.7591048358571247,1.317341100680612,0.14062009564580386
all_verified,2003,illinois_ex_cook,skip_51,91,1420,34,59.0,375.0,0.944,0.717387007227821,1.2421970164243596,0.14005648577998647
all_verified,2004,chicago,original,25,578,13,19.0,87.0,1.3103448275862069,0.7976845869763581,2.1524843217671634,0.25323078766400353
all_verified,2004,chicago,skip_51,25,578,13,19.0,90.0,1.2666666666666666,0.7722410085372546,2.0776472975496514,0.25247314720278574
all_verified,2004,cook_ex_chicago,original,28,667,15,24.0,111.0,1.2972972972972974,0.8344874564168272,2.0167831938437457,0.22511258444537408
all_verified,2004,cook_ex_chicago,skip_51,28,667,15,24.0,113.0,1.2743362831858407,0.8202874221879832,1.9797121334767345,0.22475814598984073
all_verified,2004,illinois_ex_cook,original,95,1474,36,59.0,357.0,0.9915966386554622,0.7528503788254773,1.3060548569116779,0.1405356644789932
all_verified,2004,illinois_ex_cook,skip_51,95,1474,36,59.0,382.0,0.9267015706806283,0.7044821585043495,1.219017104599451,0.13988192731548024
all_verified,2005,chicago,original,23,574,12,19.0,83.0,1.3734939759036144,0.8343405438171017,2.2610500182729476,0.25432218094073655
all_verified,2005,chicago,skip_51,23,574,12,19.0,87.0,1.3103448275862069,0.7976845869763581,2.1524843217671634,0.25323078766400353
all_verified,2005,cook_ex_chicago,original,28,674,16,22.0,110.0,1.2000000000000002,0.7592411568262635,1.8966305857540788,0.2335496832484569
all_verified,2005,cook_ex_chicago,skip_51,28,674,16,22.0,111.0,1.1891891891891893,0.7526598594618341,1.8788977649154823,0.23337427978154418
all_verified,2005,illinois_ex_cook,original,81,1476,40,65.0,338.0,1.1538461538461537,0.8848335065965371,1.504645717889423,0.1354370527819924
all_verified,2005,illinois_ex_cook,skip_51,81,1476,40,65.0,359.0,1.0863509749303621,0.834120803593143,1.4148531431519016,0.13479662720168353
all_verified,2006,chicago,original,20,579,12,19.0,81.0,1.4074074074074074,0.853963186407542,2.3195327877751555,0.25490637096729085
