year,geo,sample,k,role,n_k,base_sum,ratio,lo,hi,se_log
1997,chicago,all_observed,49,test,0,0,,,,
1997,chicago,all_observed,29,placebo,0,0,,,,
1997,chicago,all_observed,39,placebo,0,0,,,,
1997,chicago,all_observed,59,placebo,0,0,,,,
1997,chicago,all_observed,69,placebo,0,0,,,,
1997,chicago,single_all,49,test,12,136,0.5294117647058824,0.29339767449514176,0.9552796118485852,0.30114161869426803
1997,chicago,single_all,29,placebo,60,363,0.9917355371900827,0.7546913979206998,1.303233849538389,0.13936099742505356
1997,chicago,single_all,39,placebo,15,166,0.5421686746987951,0.3196213964711728,0.9196720716135144,0.26961224573859555
1997,chicago,single_all,59,placebo,3,59,0.30508474576271183,0.0956379885935029,0.9732189422417611,0.5918466742963977
1997,chicago,single_all,69,placebo,7,46,0.9130434782608695,0.41223862228474695,2.0222471843477057,0.4057046626450397
1997,chicago,single_observed,49,test,0,0,,,,
1997,chicago,single_observed,29,placebo,0,0,,,,
1997,chicago,single_observed,39,placebo,0,0,,,,
1997,chicago,single_observed,59,placebo,0,0,,,,
1997,chicago,single_observed,69,placebo,0,0,,,,
1997,cook_ex_chicago,all_observed,49,test,0,0,,,,
1997,cook_ex_chicago,all_observed,29,placebo,0,0,,,,
1997,cook_ex_chicago,all_observed,39,placebo,0,0,,,,
1997,cook_ex_chicago,all_observed,59,placebo,0,0,,,,
1997,cook_ex_chicago,all_observed,69,placebo,0,0,,,,
1997,cook_ex_chicago,single_all,49,test,20,111,1.0810810810810811,0.671556483814762,1.740339542598797,0.24291770007352081
1997,cook_ex_chicago,single_all,29,placebo,43,409,0.6308068459657701,0.4607165080576354,0.863692248829737,0.16031469592195688
1997,cook_ex_chicago,single_all,39,placebo,23,191,0.7225130890052356,0.46878286112067147,1.1135756169411466,0.22071217221486913
1997,cook_ex_chicago,single_all,59,placebo,3,63,0.2857142857142857,0.08972559815316358,0.9098033865639518,0.5909368402852788
1997,cook_ex_chicago,single_all,69,placebo,3,51,0.35294117647058826,0.11015493707385071,1.1308387745247377,0.5940885257860046
1997,cook_ex_chicago,single_observed,49,test,0,0,,,,
1997,cook_ex_chicago,single_observed,29,placebo,0,0,,,,
1997,cook_ex_chicago,single_observed,39,placebo,0,0,,,,
1997,cook_ex_chicago,single_observed,59,placebo,0,0,,,,
1997,cook_ex_chicago,single_observed,69,placebo,0,0,,,,
1997,illinois_ex_cook,all_observed,49,test,0,0,,,,
1997,illinois_ex_cook,all_observed,29,placebo,0,0,,,,
1997,illinois_ex_cook,all_observed,39,placebo,0,0,,,,
1997,illinois_ex_cook,all_observed,59,placebo,0,0,,,,
1997,illinois_ex_cook,all_observed,69,placebo,0,0,,,,
1997,illinois_ex_cook,single_all,49,test,39,334,0.7005988023952097,0.5028371441938624,0.9761384726351192,0.16921890443172577
1997,illinois_ex_cook,single_all,29,placebo,108,1138,0.5694200351493849,0.4674398391145836,0.6936489988608906,0.10068760540107889
1997,illinois_ex_cook,single_all,39,placebo,70,601,0.6988352745424292,0.5455984211289123,0.8951102533146843,0.12629175664519673
1997,illinois_ex_cook,single_all,59,placebo,16,169,0.5680473372781065,0.3402000898407196,0.9484940981050988,0.2615667405526047
1997,illinois_ex_cook,single_all,69,placebo,11,110,0.6000000000000001,0.3228291493255835,1.1151409367836504,0.31622776601683794
1997,illinois_ex_cook,single_observed,49,test,0,0,,,,
1997,illinois_ex_cook,single_observed,29,placebo,0,0,,,,
1997,illinois_ex_cook,single_observed,39,placebo,0,0,,,,
1997,illinois_ex_cook,single_observed,59,placebo,0,0,,,,
1997,illinois_ex_cook,single_observed,69,placebo,0,0,,,,
1998,chicago,all_observed,49,test,15,140,0.6428571428571429,0.37744751473717814,1.0948947601634396,0.2716790823923031
1998,chicago,all_observed,29,placebo,52,483,0.6459627329192547,0.48525834729221196,0.8598880465403776,0.14594917815976366
1998,chicago,all_observed,39,placebo,30,222,0.8108108108108109,0.5537849963217921,1.1871288953189258,0.19451950503185494
1998,chicago,all_observed,59,placebo,8,84,0.5714285714285714,0.2766980608242687,1.1800972195908448,0.37000643495047747
1998,chicago,all_observed,69,placebo,9,57,0.9473684210526315,0.4690293489604504,1.9135410762609568,0.35868505789931354
1998,chicago,single_all,49,test,13,109,0.7155963302752293,0.40262517200720926,1.2718482189042217,0.29342356560045146
1998,chicago,single_all,29,placebo,38,342,0.6666666666666666,0.4768191328301943,0.9321027908557538,0.17099639201419234
1998,chicago,single_all,39,placebo,19,161,0.7080745341614907,0.4401439548290216,1.1391035601585717,0.24257526475630614
1998,chicago,single_all,59,placebo,4,64,0.375,0.13656014601110875,1.0297660342905652,0.5153882032022076
1998,chicago,single_all,69,placebo,7,45,0.9333333333333333,0.4209083824884355,2.0695979157294286,0.406299600146696
1998,chicago,single_observed,49,test,13,109,0.7155963302752293,0.40262517200720926,1.2718482189042217,0.29342356560045146
1998,chicago,single_observed,29,placebo,38,342,0.6666666666666666,0.4768191328301943,0.9321027908557538,0.17099639201419234
1998,chicago,single_observed,39,placebo,19,161,0.7080745341614907,0.4401439548290216,1.1391035601585717,0.24257526475630614
1998,chicago,single_observed,59,placebo,4,64,0.375,0.13656014601110875,1.0297660342905652,0.5153882032022076
1998,chicago,single_observed,69,placebo,7,45,0.9333333333333333,0.4209083824884355,2.0695979157294286,0.406299600146696
1998,cook_ex_chicago,all_observed,49,test,29,162,1.0740740740740742,0.7234380147610584,1.5946564779003345,0.20163233403118283
1998,cook_ex_chicago,all_observed,29,placebo,49,568,0.5176056338028169,0.38659822385718573,0.6930078195170063,0.14889166076576557
1998,cook_ex_chicago,all_observed,39,placebo,29,271,0.6420664206642067,0.4377945386286181,0.9416501398941796,0.1953785953503061
1998,cook_ex_chicago,all_observed,59,placebo,7,94,0.4468085106382979,0.2073133939519709,0.962976107684894,0.3917849419381547
1998,cook_ex_chicago,all_observed,69,placebo,10,53,1.1320754716981132,0.575969242223859,2.2251099184952565,0.3447722792341372
1998,cook_ex_chicago,single_all,49,test,21,107,1.177570093457944,0.7376054807887524,1.8799634237041263,0.2386730860645393
1998,cook_ex_chicago,single_all,29,placebo,34,398,0.5125628140703518,0.36112444272749805,0.727507217133915,0.1786738019966909
1998,cook_ex_chicago,single_all,39,placebo,23,198,0.696969696969697,0.4525818907498299,1.0733234546552917,0.22029245543157003
1998,cook_ex_chicago,single_all,59,placebo,5,68,0.4411764705882353,0.1779054411901355,1.0940456733567532,0.4633636610190113
1998,cook_ex_chicago,single_all,69,placebo,5,41,0.7317073170731707,0.2891459522336833,1.8516447964165834,0.47369847361210593
1998,cook_ex_chicago,single_observed,49,test,21,107,1.177570093457944,0.7376054807887524,1.8799634237041263,0.2386730860645393
1998,cook_ex_chicago,single_observed,29,placebo,34,398,0.5125628140703518,0.36112444272749805,0.727507217133915,0.1786738019966909
1998,cook_ex_chicago,single_observed,39,placebo,23,198,0.696969696969697,0.4525818907498299,1.0733234546552917,0.22029245543157003
1998,cook_ex_chicago,single_observed,59,placebo,5,68,0.4411764705882353,0.1779054411901355,1.0940456733567532,0.4633636610190113
1998,cook_ex_chicago,single_observed,69,placebo,5,41,0.7317073170731707,0.2891459522336833,1.8516447964165834,0.47369847361210593
1998,illinois_ex_cook,all_observed,49,test,66,444,0.8918918918918919,0.6886789402785481,1.1550682042066744,0.1319233391169561
1998,illinois_ex_cook,all_observed,29,placebo,164,1685,0.5839762611275965,0.49746978236327566,0.6855256050739016,0.08179873339911063
1998,illinois_ex_cook,all_observed,39,placebo,81,842,0.5771971496437054,0.45951497945137787,0.7250178219534407,0.1163328305698898
1998,illinois_ex_cook,all_observed,59,placebo,18,241,0.44813278008298757,0.2775973135727233,0.7234327522852518,0.24434592926610532
1998,illinois_ex_cook,all_observed,69,placebo,18,152,0.7105263157894737,0.43591219463111797,1.158140679814154,0.24926793400671615
1998,illinois_ex_cook,single_all,49,test,46,320,0.8624999999999999,0.6331929625327137,1.174849207142864,0.15768364035239232
1998,illinois_ex_cook,single_all,29,placebo,118,1176,0.6020408163265306,0.49822742773944706,0.7274853296769198,0.09656560675126968
1998,illinois_ex_cook,single_all,39,placebo,56,613,0.5481239804241436,0.41691541826290285,0.7206255387910657,0.13960108963562143
1998,illinois_ex_cook,single_all,59,placebo,16,179,0.5363128491620112,0.3215930334927986,0.8943958426348033,0.2609340763081184
1998,illinois_ex_cook,single_all,69,placebo,14,101,0.8316831683168318,0.475559559978211,1.4544905636913608,0.2851833822781077
1998,illinois_ex_cook,single_observed,49,test,46,320,0.8624999999999999,0.6331929625327137,1.174849207142864,0.15768364035239232
1998,illinois_ex_cook,single_observed,29,placebo,118,1174,0.6030664395229983,0.49906886001035566,0.728735370248105,0.09657310716537423
1998,illinois_ex_cook,single_observed,39,placebo,56,612,0.5490196078431373,0.41758883878531033,0.7218165377049237,0.1396106363614443
1998,illinois_ex_cook,single_observed,59,placebo,16,179,0.5363128491620112,0.3215930334927986,0.8943958426348033,0.2609340763081184
1998,illinois_ex_cook,single_observed,69,placebo,14,101,0.8316831683168318,0.475559559978211,1.4544905636913608,0.2851833822781077
1999,chicago,all_observed,49,test,14,146,0.5753424657534247,0.33248442601039097,0.9955923556217503,0.2797818551962664
1999,chicago,all_observed,29,placebo,47,498,0.5662650602409639,0.4198846227358335,0.7636767366244805,0.15259301384137777
1999,chicago,all_observed,39,placebo,30,218,0.8256880733944953,0.5637115371790501,1.2094143007212708,0.19473183945271016
1999,chicago,all_observed,59,placebo,8,72,0.6666666666666666,0.321128481911098,1.3840081757914127,0.37267799624996495
1999,chicago,all_observed,69,placebo,6,58,0.6206896551724138,0.2678146079034115,1.4385161849610313,0.4288450139351179
1999,chicago,single_all,49,test,13,111,0.7027027027027027,0.39558911065755314,1.248242368362712,0.29314175057825853
1999,chicago,single_all,29,placebo,30,369,0.4878048780487805,0.3362341329106368,0.7077020913621166,0.1898508899995055
1999,chicago,single_all,39,placebo,19,163,0.6993865030674846,0.4348773327981841,1.1247803547856177,0.24241812694706186
1999,chicago,single_all,59,placebo,4,59,0.4067796610169491,0.14776099482819963,1.1198469041809995,0.516671222870379
1999,chicago,single_all,69,placebo,5,41,0.7317073170731707,0.2891459522336833,1.8516447964165834,0.47369847361210593
1999,chicago,single_observed,49,test,13,111,0.7027027027027027,0.39558911065755314,1.248242368362712,0.29314175057825853
1999,chicago,single_observed,29,placebo,30,368,0.4891304347826087,0.3371349973082159,0.7096521694302113,0.18987028371412193
1999,chicago,single_observed,39,placebo,19,163,0.6993865030674846,0.4348773327981841,1.1247803547856177,0.24241812694706186
1999,chicago,single_observed,59,placebo,4,59,0.4067796610169491,0.14776099482819963,1.1198469041809995,0.516671222870379
1999,chicago,single_observed,69,placebo,5,41,0.7317073170731707,0.2891459522336833,1.8516447964165834,0.47369847361210593
1999,cook_ex_chicago,all_observed,49,test,34,164,1.2439024390243902,0.8597726951654321,1.7996538928386254,0.1884391829782015
1999,cook_ex_chicago,all_observed,29,placebo,55,557,0.59245960502693,0.44910432964296726,0.7815742588536464,0.14134054732547
1999,cook_ex_chicago,all_observed,39,placebo,30,273,0.6593406593406593,0.45225467875550934,0.9612506525218111,0.19234431885641176
1999,cook_ex_chicago,all_observed,59,placebo,4,96,0.25,0.09195070389607703,0.6797120342943508,0.5103103630798288
1999,cook_ex_chicago,all_observed,69,placebo,9,61,0.8852459016393444,0.43965616469082414,1.7824390269162786,0.3570777978733233
1999,cook_ex_chicago,single_all,49,test,23,112,1.232142857142857,0.7866758921001515,1.9298621397373195,0.2289253858752599
1999,cook_ex_chicago,single_all,29,placebo,36,386,0.5595854922279793,0.39767536677433263,0.7874159409268212,0.1742654623065262
1999,cook_ex_chicago,single_all,39,placebo,27,209,0.7751196172248803,0.5191486658673401,1.157299364341181,0.20450360884896956
1999,cook_ex_chicago,single_all,59,placebo,3,67,0.26865671641791045,0.08450163078389868,0.8541424657357783,0.5901344816799486
1999,cook_ex_chicago,single_all,69,placebo,4,43,0.5581395348837209,0.20034502773616691,1.5549162558227034,0.5227387626276516
1999,cook_ex_chicago,single_observed,49,test,23,112,1.232142857142857,0.7866758921001515,1.9298621397373195,0.2289253858752599
1999,cook_ex_chicago,single_observed,29,placebo,36,386,0.5595854922279793,0.39767536677433263,0.7874159409268212,0.1742654623065262
1999,cook_ex_chicago,single_observed,39,placebo,27,209,0.7751196172248803,0.5191486658673401,1.157299364341181,0.20450360884896956
1999,cook_ex_chicago,single_observed,59,placebo,3,67,0.26865671641791045,0.08450163078389868,0.8541424657357783,0.5901344816799486
1999,cook_ex_chicago,single_observed,69,placebo,4,43,0.5581395348837209,0.20034502773616691,1.5549162558227034,0.5227387626276516
1999,illinois_ex_cook,all_observed,49,test,68,473,0.8625792811839323,0.6689641693107724,1.1122314923000585,0.12969212488737994
