emp,n_all,n_actual,n_modeled,pct_actual,is_round10,is_round5
1,47107,3784.0,43323.0,8.0,False,False
2,18400,4318.0,14082.0,23.5,False,False
3,16165,3818.0,12347.0,23.6,False,False
4,9180,2960.0,6220.0,32.2,False,False
5,6853,3073.0,3780.0,44.8,False,True
6,4300,1922.0,2378.0,44.7,False,False
7,2914,1290.0,1624.0,44.3,False,False
8,2488,1274.0,1214.0,51.2,False,False
9,1542,642.0,900.0,41.6,False,False
10,2602,1923.0,679.0,73.9,True,False
11,1059,464.0,595.0,43.8,False,False
12,1268,813.0,455.0,64.1,False,False
13,699,318.0,381.0,45.5,False,False
14,603,311.0,292.0,51.6,False,False
15,1362,1081.0,281.0,79.4,False,True
16,470,194.0,276.0,41.3,False,False
17,466,137.0,329.0,29.4,False,False
18,460,170.0,290.0,37.0,False,False
19,335,101.0,234.0,30.1,False,False
20,1347,1151.0,196.0,85.4,True,False
21,376,91.0,285.0,24.2,False,False
22,324,139.0,185.0,42.9,False,False
23,261,81.0,180.0,31.0,False,False
24,211,88.0,123.0,41.7,False,False
25,665,554.0,111.0,83.3,False,True
26,200,72.0,128.0,36.0,False,False
27,125,52.0,73.0,41.6,False,False
28,140,58.0,82.0,41.4,False,False
29,96,31.0,65.0,32.3,False,False
30,779,712.0,67.0,91.4,True,False
31,79,26.0,53.0,32.9,False,False
32,116,60.0,56.0,51.7,False,False
33,86,26.0,60.0,30.2,False,False
34,75,29.0,46.0,38.7,False,False
35,252,201.0,51.0,79.8,False,True
36,62,25.0,37.0,40.3,False,False
37,55,15.0,40.0,27.3,False,False
38,71,27.0,44.0,38.0,False,False
39,54,16.0,38.0,29.6,False,False
40,417,385.0,32.0,92.3,True,False
41,70,15.0,55.0,21.4,False,False
42,65,27.0,38.0,41.5,False,False
43,48,10.0,38.0,20.8,False,False
44,44,10.0,34.0,22.7,False,False
45,172,141.0,31.0,82.0,False,True
46,57,11.0,46.0,19.3,False,False
47,56,14.0,42.0,25.0,False,False
48,51,13.0,38.0,25.5,False,False
49,77,40.0,37.0,51.9,False,False
50,591,551.0,40.0,93.2,True,False
51,80,54.0,26.0,67.5,False,False
52,38,19.0,19.0,50.0,False,False
53,37,10.0,27.0,27.0,False,False
54,48,17.0,31.0,35.4,False,False
55,104,79.0,25.0,76.0,False,True
56,40,13.0,27.0,32.5,False,False
57,33,9.0,24.0,27.3,False,False
58,48,16.0,32.0,33.3,False,False
59,20,5.0,15.0,25.0,False,False
60,300,278.0,22.0,92.7,True,False
61,35,7.0,28.0,20.0,False,False
62,45,9.0,36.0,20.0,False,False
63,29,5.0,24.0,17.2,False,False
64,30,4.0,26.0,13.3,False,False
65,87,64.0,23.0,73.6,False,True
66,28,4.0,24.0,14.3,False,False
67,26,3.0,23.0,11.5,False,False
68,32,10.0,22.0,31.2,False,False
69,27,3.0,24.0,11.1,False,False
70,148,132.0,16.0,89.2,True,False
71,27,7.0,20.0,25.9,False,False
72,30,8.0,22.0,26.7,False,False
73,27,5.0,22.0,18.5,False,False
74,26,6.0,20.0,23.1,False,False
75,153,127.0,26.0,83.0,False,True
76,10,5.0,5.0,50.0,False,False
77,16,3.0,13.0,18.8,False,False
78,19,5.0,14.0,26.3,False,False
79,17,2.0,15.0,11.8,False,False
80,161,150.0,11.0,93.2,True,False
81,21,7.0,14.0,33.3,False,False
82,21,8.0,13.0,38.1,False,False
83,26,5.0,21.0,19.2,False,False
84,19,5.0,14.0,26.3,False,False
85,55,40.0,15.0,72.7,False,True
86,13,3.0,10.0,23.1,False,False
87,12,3.0,9.0,25.0,False,False
88,12,1.0,11.0,8.3,False,False
89,10,4.0,6.0,40.0,False,False
90,68,65.0,3.0,95.6,True,False
91,9,2.0,7.0,22.2,False,False
92,10,3.0,7.0,30.0,False,False
93,8,3.0,5.0,37.5,False,False
94,14,4.0,10.0,28.6,False,False
95,20,11.0,9.0,55.0,False,True
96,12,4.0,8.0,33.3,False,False
97,4,1.0,3.0,25.0,False,False
98,6,3.0,3.0,50.0,False,False
99,21,14.0,7.0,66.7,False,False
100,353,348.0,5.0,98.6,True,False
101,35,31.0,4.0,88.6,False,False
102,7,1.0,6.0,14.3,False,False
103,5,1.0,4.0,20.0,False,False
104,7,3.0,4.0,42.9,False,False
105,12,7.0,5.0,58.3,False,True
106,5,0.0,5.0,0.0,False,False
107,6,1.0,5.0,16.7,False,False
108,8,2.0,6.0,25.0,False,False
109,13,3.0,10.0,23.1,False,False
110,22,17.0,5.0,77.3,True,False
111,6,3.0,3.0,50.0,False,False
112,5,3.0,2.0,60.0,False,False
113,9,1.0,8.0,11.1,False,False
114,8,2.0,6.0,25.0,False,False
115,7,6.0,1.0,85.7,False,True
116,3,0.0,3.0,0.0,False,False
117,5,0.0,5.0,0.0,False,False
118,10,1.0,9.0,10.0,False,False
119,6,4.0,2.0,66.7,False,False
120,65,61.0,4.0,93.8,True,False
121,3,0.0,3.0,0.0,False,False
122,7,1.0,6.0,14.3,False,False
123,2,1.0,1.0,50.0,False,False
124,6,4.0,2.0,66.7,False,False
125,27,24.0,3.0,88.9,False,True
126,4,0.0,4.0,0.0,False,False
127,2,1.0,1.0,50.0,False,False
128,4,2.0,2.0,50.0,False,False
129,2,0.0,2.0,0.0,False,False
130,29,25.0,4.0,86.2,True,False
131,8,0.0,8.0,0.0,False,False
132,1,1.0,0.0,100.0,False,False
133,8,2.0,6.0,25.0,False,False
134,3,1.0,2.0,33.3,False,False
135,3,2.0,1.0,66.7,False,True
136,5,3.0,2.0,60.0,False,False
137,9,2.0,7.0,22.2,False,False
138,3,1.0,2.0,33.3,False,False
139,5,1.0,4.0,20.0,False,False
140,26,25.0,1.0,96.2,True,False
141,2,0.0,2.0,0.0,False,False
142,2,0.0,2.0,0.0,False,False
143,2,1.0,1.0,50.0,False,False
144,2,0.0,2.0,0.0,False,False
145,1,1.0,0.0,100.0,False,True
146,2,1.0,1.0,50.0,False,False
147,2,0.0,2.0,0.0,False,False
149,2,1.0,1.0,50.0,False,False
150,156,155.0,1.0,99.4,True,False
151,4,1.0,3.0,25.0,False,False
152,2,1.0,1.0,50.0,False,False
153,4,1.0,3.0,25.0,False,False
154,1,1.0,0.0,100.0,False,False
155,4,2.0,2.0,50.0,False,True
157,2,1.0,1.0,50.0,False,False
158,3,2.0,1.0,66.7,False,False
159,1,1.0,0.0,100.0,False,False
160,48,22.0,26.0,45.8,True,False
161,1,0.0,1.0,0.0,False,False
162,2,1.0,1.0,50.0,False,False
164,4,0.0,4.0,0.0,False,False
165,10,3.0,7.0,30.0,False,True
166,2,0.0,2.0,0.0,False,False
167,2,1.0,1.0,50.0,False,False
168,1,0.0,1.0,0.0,False,False
169,1,0.0,1.0,0.0,False,False
170,16,13.0,3.0,81.2,True,False
173,1,0.0,1.0,0.0,False,False
174,2,0.0,2.0,0.0,False,False
175,11,11.0,0.0,100.0,False,True
176,1,0.0,1.0,0.0,False,False
177,4,1.0,3.0,25.0,False,False
178,1,0.0,1.0,0.0,False,False
180,22,20.0,2.0,90.9,True,False
181,1,0.0,1.0,0.0,False,False
182,2,1.0,1.0,50.0,False,False
183,5,1.0,4.0,20.0,False,False
184,1,0.0,1.0,0.0,False,False
185,4,4.0,0.0,100.0,False,True
186,2,0.0,2.0,0.0,False,False
190,11,11.0,0.0,100.0,True,False
191,1,0.0,1.0,0.0,False,False
192,1,1.0,0.0,100.0,False,False
195,2,0.0,2.0,0.0,False,True
198,2,2.0,0.0,100.0,False,False
200,168,168.0,0.0,100.0,True,False
