company,firm_id,naics2,naics3,n_estab,n_unknown,emp,implausible
UNIVERSITY-CHICAGO BOARD-TRSTS,820452373,61,541,76.0,2.0,19684.0,False
NORTHWESTERN MEMORIAL HOSP,610835209,62,622,105.0,2.0,10881.0,False
UNITED AIRLINES HOLDINGS INC,007538044,54,481,5.0,0.0,8146.0,False
JOHNSTON R BOWMAN HEALTH CTR,448897181,62,621,1.0,0.0,8000.0,True
MCDONALD'S CORP,001682400,42,722,113.0,0.0,7924.0,False
JEWEL-OSCO,005995907,44,445,69.0,0.0,7241.0,False
CNA FINANCIAL CORP,433090792,52,524,8.0,0.0,7212.0,False
HEALTH CARE SVC CORP,507636348,52,524,4.0,0.0,7063.0,False
BAKER & MCKENZIE LLP,424821023,54,541,3.0,0.0,7008.0,False
STATE STREET GLOBAL ADVISORS,107286601,52,523,1.0,0.0,7000.0,True
CHICAGO POLICE DEPT,CITY OF CHICAGO - POLICE,92,922,27.0,0.0,6797.0,False
MT SINAI HOSPITAL,820310522,62,622,18.0,0.0,6789.0,False
ADVOCATE IL MASONIC MED CTR,497076042,62,622,133.0,1.0,6471.0,False
ACCENTURE LIMITED,402852537,51,541,3.0,0.0,6405.0,False
BMO FINANCIAL CORP,412706689,52,551,34.0,0.0,6339.0,False
NORTHERN TRUST CORP,424806438,52,551,7.0,0.0,6048.0,False
EXELON CORP,552852329,23,221,4.0,0.0,6027.0,False
CHICAGO MARRIOTT DOWNTOWN,400857322,72,721,39.0,0.0,5950.0,False
UI HEALTH,004588000,62,622,50.0,1.0,5919.0,False
MERRY MAIDS,214490476,32,238,583.0,1.0,5918.0,True
CHICAGO TRANSIT AUTHORITY,CHICAGO TRANSIT AUTHORITY,92,485,173.0,0.0,5334.0,False
UNITED STATES POSTAL SVC,801175985,48,491,2187.0,2121.0,5161.0,False
DELOITTE,001122381,52,541,2.0,0.0,5006.0,False
ODYSSEY CRUISES CHICAGO,726216376,56,561,1.0,0.0,5000.0,True
PALMER HOUSE A HILTON HOTEL,434496131,72,721,33.0,0.0,4659.0,False
CHARMS CO,009382458,42,311,7.0,0.0,4083.0,False
CITY COLLEGES-CHICAGO-HARRY S,754680184,61,611,14.0,0.0,4078.0,False
ANN-ROBERT H LURIE CHILDREN'S,407427249,62,622,6.0,0.0,4053.0,False
DLA PIPER LLP,001174812,54,541,1.0,0.0,4036.0,True
SINAI MEDICAL GROUP,458537792,62,621,1.0,0.0,4000.0,True
TARGET,002937415,44,452,24.0,1.0,3780.0,False
HYATT REGENCY CHICAGO,441363611,72,721,19.0,0.0,3756.0,False
MAYER BROWN,001330802,54,541,4.0,0.0,3645.0,False
CITY-CHICAGO STREETS DEPT,402872899,92,237,1.0,0.0,3500.0,False
MARIANO'S,007521503,42,445,39.0,0.0,3434.0,False
LEO BURNETT CO INC,004557500,54,541,2.0,0.0,3254.0,False
ST MARY OF NAZARETH HOSPITAL,400827357,62,622,11.0,0.0,3168.0,False
COOK COUNTY DEPT OF CORRECTION,003420254,92,921,1.0,0.0,3077.0,False
NORTHWESTERN MEMORIAL PHYS GRP,440458614,62,621,1.0,0.0,3000.0,False
WALGREENS,007539588,45,446,117.0,0.0,2942.0,False
BANK OF AMERICA,007526478,52,522,74.0,6.0,2894.0,False
STATE ATTORNEY,408242873,92,921,4.0,0.0,2780.0,False
STARBUCKS,303651459,54,722,185.0,0.0,2423.0,False
AMTRAK MARKETING DEPT,801407271,48,485,3.0,0.0,2418.0,False
ASCENSION ST JOSEPH-CHICAGO,467049706,62,622,25.0,0.0,2412.0,False
CHICAGO PUBLIC LIBRARY,465380327,51,519,76.0,0.0,2379.0,False
DEPARTMENT OF HUMAN SVC,465474104,54,923,21.0,0.0,2371.0,False
HOME DEPOT,007556426,23,444,23.0,0.0,2199.0,False
LOYOLA UNIVERSITY CHICAGO,738425337,71,611,10.0,0.0,2173.0,False
QUAKER OATS CO,007529209,31,311,3.0,0.0,2172.0,False
SHAW'S CRAB HOUSE,151554573,72,722,43.0,0.0,2077.0,False
UBS FINANCIAL SVC,007528383,52,523,13.0,0.0,2071.0,False
US GENERAL SVC ADMINISTRATION,470448572,54,921,2.0,0.0,2013.0,False
INSUREON,404702791,52,524,1.0,0.0,2004.0,True
MASONIC MEDICAL CTR-PATIENT,720908038,62,621,1.0,0.0,2000.0,True
UNITED CENTER,417443926,71,711,1.0,0.0,2000.0,False
S & C ELECTRIC CO,009317371,23,423,1.0,0.0,2000.0,False
JAMES W JARDINE WATER,448894238,92,924,1.0,0.0,2000.0,False
SP PLUS CORP,804424223,56,812,299.0,2.0,1982.0,False
WHOLE FOODS MARKET,886012012,44,445,263.0,218.0,1960.0,False
JONES LANG LASALLE INC,820154003,52,531,20.0,0.0,1919.0,False
MACY'S,004586681,45,452,12.0,0.0,1916.0,False
DDB CHICAGO,004630315,54,541,19.0,0.0,1826.0,False
TEMPEL STEEL CO,009287483,33,238,1.0,0.0,1800.0,False
INTERCONTINENTAL CHICAGO,510184948,48,721,13.0,0.0,1786.0,False
MARSH & MC LENNAN AGENCY,806920021,52,524,8.0,0.0,1735.0,False
PRICEWATERHOUSE COOPERS,006407589,52,523,3.0,0.0,1714.0,False
DART CONTAINER SOLO,009450149,32,322,1.0,0.0,1700.0,False
BAGCRAFT PACKAGING,403476608,32,322,129.0,91.0,1684.0,False
