tier,flagged,firms,employees,gross,adjusted
No exemptions,included,280,466550,184753800.0,120320727.49620003
No exemptions,excluded,271,427592,169326432.0,110273669.51356801
less government,included,265,435383,172411668.0,112282926.37333201
less government,excluded,256,396425,156984300.0,102235868.39070001
less education,included,253,404291,160099236.0,104264467.345764
less education,excluded,244,365333,144671868.0,94217409.36313201
less hospitals,included,235,355060,140603760.0,91568058.09624001
less hospitals,excluded,226,316102,125176392.0,81521000.11360802
less all health,included,221,329665,130547340.0,85018824.62766002
less all health,excluded,215,304707,120663972.0,78582291.10102801
less civic/religious,included,214,323233,128000268.0,83360046.53473201
less civic/religious,excluded,208,298275,118116900.0,76923513.0081
