data_year,status,encoding,n_fields,n_members,raw_rows_total,il_rows,chicago_city_rows,in_chicago_rows,chicago_outside_cook,cook_rows,in_chicago_employment,in_chicago_500plus,emp_missing_pct_il,actual_pct_il,actual_pct_chicago,modeled_A,modeled_B,modeled_C,modeled_D,modeled_(blank),archive_months,size_code_check,columns_absent,raw_cleanup,seconds,note,headerless_members,quote_repairs,parent_zero_recoded
1997,ok_with_flags,utf-8/utf-8+quote-repair,89,2,11263921,504080,110405,110405,0,214768,1520714,306,3.44,0.0,0.0,0,0,0,0,504080,12,disagreements,,deleted; zip retained,116,,2,1,0
1998,ok,utf-8/utf-8+quote-repair,89,2,10774211,478081,103127,103100,27,200442,1335741,287,17.89,72.03,66.21,344346,2146,74147,46082,11360,12,band_only_C,,deleted; zip retained,107,,2,1,422345
1999,ok,utf-8,89,2,11020066,485948,108988,108970,18,204666,1427435,332,17.89,71.98,64.24,349794,2010,75064,47190,11890,12,band_only_C,,deleted; zip retained,58,,2,0,429828
2000,ok,utf-8,89,2,11169276,489373,109663,109644,19,206042,1420456,328,18.1,71.57,64.02,350232,2090,77690,48452,10909,12,band_only_C,,deleted; zip retained,59,,2,0,432937
2001,ok_with_flags,utf-8,89,2,12549384,518456,109260,109240,20,209029,1391625,318,21.0,68.05,62.65,352815,2769,92378,53987,16507,12,mismatch,,deleted; zip retained,27,,0,0,460985
2002,ok,utf-8,89,2,12848949,536717,110615,110588,27,216668,1346306,300,23.98,65.21,59.75,349985,3077,113170,54930,15555,12,band_only_C,,deleted; zip retained,51,,1,0,477934
2003,ok,utf-8,89,2,12743180,531507,110858,110858,0,215955,1494936,297,2.74,65.88,60.15,350178,52687,3146,110933,14563,07,confirmed,,deleted; zip retained,28,,0,0,0
2004,ok,utf-8,89,2,12616724,516252,105050,105050,0,206139,1394350,284,2.19,67.65,61.35,349267,49944,2945,102793,11303,07,confirmed,,deleted; zip retained,28,,0,0,0
2005,ok,utf-8,89,2,13196449,550996,111407,111407,0,220120,1413842,280,3.0,63.7,58.06,350970,51101,3698,128704,16523,07,confirmed,,deleted; zip retained,29,,0,0,0
2006,ok,utf-8,89,2,13350450,542318,107030,107030,0,215014,1452100,291,2.21,63.64,59.7,345155,53970,3724,127482,11987,07,confirmed,,deleted; zip retained,30,,0,0,0
2007,ok,cp1252->utf-8/utf-8,89,2,13701376,551181,117344,117344,0,227643,1496372,293,0.12,62.52,53.72,344621,59795,0,146087,678,07,confirmed,,deleted; zip retained,45,,0,0,0
2008,ok,cp1252->utf-8/utf-8,89,2,13887803,562898,121463,121463,0,235258,1541178,310,0.14,61.07,51.61,343765,68954,0,149389,790,07,confirmed,,deleted; zip retained,46,,0,0,0
2009,ok,cp1252->utf-8/utf-8,89,2,13669081,542859,118239,118238,1,224027,1508243,306,0.18,61.36,50.54,333084,72376,0,136442,957,07,confirmed,,deleted; zip retained,46,,0,0,0
2010,ok,cp1252->utf-8/utf-8,89,2,13834280,558111,117831,117831,0,229283,1468011,288,1.73,59.84,49.6,333990,76974,0,137476,9671,07,confirmed,,deleted; zip retained,47,,0,0,0
2011,ok_with_flags,cp1252->utf-8/utf-8,89,2,13468613,532373,113532,113532,0,218834,1417304,276,1.84,58.3,47.68,310351,74751,0,137501,9770,07,disagreements,,deleted; zip retained,45,,0,0,0
2012,ok,cp1252->utf-8/utf-8,89,2,14715368,594139,119385,119383,2,234379,1438029,281,3.38,53.05,45.48,315185,78334,0,180524,20096,07,confirmed,,deleted; zip retained,49,,0,0,0
2013,ok,cp1252->utf-8/utf-8,89,2,15954358,646315,139347,139344,3,265353,1556398,291,2.91,48.67,39.96,314580,94918,0,217988,18829,07,confirmed,,deleted; zip retained,56,,0,0,0
2014,ok,cp1252->utf-8/utf-8,89,2,15916903,633696,134651,134643,8,256521,1556312,308,4.5,48.14,39.64,305043,74441,0,225688,28524,07,confirmed,,deleted; zip retained,55,,0,0,0
2015,ok,cp1252->utf-8/utf-8,89,2,15628916,614317,128320,128314,6,248328,1528247,319,5.43,47.23,39.29,290141,56300,0,234530,33346,07,confirmed,,deleted; zip retained,55,,0,0,0
2016,ok_with_flags,cp1252->utf-8,89,2,15716633,613121,125999,125995,4,247745,1539864,304,6.84,46.13,38.56,282838,98692,31958,157691,41942,07,disagreements,,deleted; zip retained,70,,0,0,0
2017,ok,cp1252->utf-8,89,2,14827152,568682,112538,112534,4,225563,1475669,306,6.72,47.56,40.35,270488,94036,28620,137332,38206,07,confirmed,,deleted; zip retained,62,,0,0,0
2018,ok,cp1252->utf-8,89,2,14699426,551817,105938,105932,6,215756,1422964,295,7.23,46.23,38.77,255119,95078,26846,134904,39870,07,confirmed,,deleted; zip retained,65,,0,0,0
2019,ok,cp1252->utf-8,89,2,15488135,557414,112307,112300,7,221747,1423293,281,7.67,44.89,36.83,250245,93743,25711,144960,42755,07,confirmed,,deleted; zip retained,68,,0,0,0
2020,ok,cp1252->utf-8,89,2,15516490,557398,111295,111288,7,223180,1381706,269,7.48,43.27,35.68,241193,102858,25693,145976,41678,07,confirmed,,deleted; zip retained,72,,0,0,0
2021,ok,utf-8,89,2,15945133,572795,115695,115682,13,230841,1388184,267,7.25,41.82,34.13,239544,109030,26941,155777,41503,07,confirmed,,deleted; zip retained,42,,0,0,0
2022,ok,utf-8,89,2,16868061,606453,123142,123118,24,247189,1375116,260,12.76,39.54,31.87,239818,108328,24680,156252,77375,07,confirmed,,deleted; zip retained,46,,0,0,0
2023,ok,utf-8+quote-repair,89,2,17458970,629381,131278,129776,1502,256493,1478852,259,10.16,47.21,40.51,297138,0,0,332243,0,07,confirmed,,deleted; zip retained,114,,0,85,0
2024,ok,utf-8+quote-repair,89,2,18245742,656746,139582,138165,1417,269469,1413426,256,7.37,42.3,34.57,277792,0,0,378954,0,07,confirmed,,deleted; zip retained,125,,0,3,0
2025,ok,utf-8,89,2,18191495,657269,139025,137658,1367,269155,1357991,244,7.34,35.91,28.75,236013,0,0,421256,0,07,confirmed,,deleted; zip retained,51,,0,0,0
