data_year,status,encoding,n_fields,n_members,raw_rows_total,il_rows,chicago_city_rows,in_chicago_rows,chicago_outside_cook,cook_rows,in_chicago_employment,in_chicago_500plus,emp_missing_pct_il,actual_pct_il,actual_pct_chicago,modeled_A,modeled_B,modeled_C,modeled_D,modeled_(blank),archive_months,size_code_check,parent_zero_recoded,headerless_members,quote_repairs,columns_absent,raw_cleanup,seconds
1997,ok,utf-8/utf-8+quote-repair,89,2,11263921,28216,0,0,0,0,0,0,2.48,0.0,,0,0,0,0,28216,12,confirmed,0,2,1,,deleted; zip retained,114
1998,ok,utf-8/utf-8+quote-repair,89,2,10774211,26560,0,0,0,0,0,0,16.02,73.21,,19444,149,3818,2712,437,12,band_only_C,23094,2,1,,deleted; zip retained,113
1999,ok_with_flags,utf-8,89,2,11020066,26636,0,0,0,0,0,0,14.44,74.77,,19915,143,3638,2732,208,12,mismatch,23138,2,0,,deleted; zip retained,60
2000,ok_with_flags,utf-8,89,2,11169276,26700,0,0,0,0,0,0,14.37,74.8,,19972,145,3628,2747,208,12,mismatch,23168,2,0,,deleted; zip retained,60
2001,ok,utf-8,89,2,12549384,30439,0,0,0,0,0,0,20.23,67.12,,20432,199,4820,3651,1337,12,band_only_C,26715,0,0,,deleted; zip retained,27
2002,ok,utf-8,89,2,12848949,30050,0,0,0,0,0,0,20.54,67.41,,20256,219,5627,3404,544,12,band_only_C,26286,1,0,,deleted; zip retained,49
2003,ok,utf-8,89,2,12743180,29965,0,0,0,0,0,0,1.62,67.04,,20089,3406,245,5741,484,07,confirmed,0,0,0,,deleted; zip retained,29
2004,ok,utf-8,89,2,12616724,30233,0,0,0,0,0,0,1.6,67.39,,20375,3408,230,5736,484,07,confirmed,0,0,0,,deleted; zip retained,28
2005,ok,utf-8,89,2,13196449,31524,0,0,0,0,0,0,2.23,66.05,,20821,3483,207,6310,703,07,confirmed,0,0,0,,deleted; zip retained,30
2006,ok,utf-8,89,2,13350450,31648,0,0,0,0,0,0,2.22,64.46,,20401,3699,272,6573,703,07,confirmed,0,0,0,,deleted; zip retained,30
2007,ok,cp1252->utf-8/utf-8,89,2,13701376,31868,0,0,0,0,0,0,0.06,64.79,,20646,3652,0,7550,20,07,confirmed,0,0,0,,deleted; zip retained,45
2008,ok,cp1252->utf-8/utf-8,89,2,13887803,31824,0,0,0,0,0,0,0.05,65.5,,20846,3862,0,7100,16,07,confirmed,0,0,0,,deleted; zip retained,44
2009,ok,cp1252->utf-8/utf-8,89,2,13669081,31519,0,0,0,0,0,0,0.07,64.09,,20200,4275,0,7023,21,07,confirmed,0,0,0,,deleted; zip retained,44
2010,ok,cp1252->utf-8/utf-8,89,2,13834280,31987,0,0,0,0,0,0,1.79,63.45,,20296,4245,0,6875,571,07,confirmed,0,0,0,,deleted; zip retained,45
2011,ok,cp1252->utf-8/utf-8,89,2,13468613,29417,0,0,0,0,0,0,2.06,63.12,,18567,4024,0,6220,606,07,confirmed,0,0,0,,deleted; zip retained,42
2012,ok,cp1252->utf-8/utf-8,89,2,14715368,34822,0,0,0,0,0,0,3.82,53.98,,18796,4897,0,9800,1329,07,confirmed,0,0,0,,deleted; zip retained,46
2013,ok,cp1252->utf-8/utf-8,89,2,15954358,38232,0,0,0,0,0,0,2.57,47.09,,18002,6282,0,12966,982,07,confirmed,0,0,0,,deleted; zip retained,53
2014,ok,cp1252->utf-8/utf-8,89,2,15916903,37099,0,0,0,0,0,0,4.23,48.25,,17899,4546,0,13086,1568,07,confirmed,0,0,0,,deleted; zip retained,50
2015,ok,cp1252->utf-8/utf-8,89,2,15628916,36228,0,0,0,0,0,0,5.26,47.86,,17340,3475,0,13507,1906,07,confirmed,0,0,0,,deleted; zip retained,50
2016,ok,cp1252->utf-8,89,2,15716633,35732,0,0,0,0,0,0,6.06,47.39,,16935,5967,2204,8461,2165,07,confirmed,0,0,0,,deleted; zip retained,66
2017,ok,cp1252->utf-8,89,2,14827152,33353,0,0,0,0,0,0,5.88,49.19,,16405,5591,1985,7412,1960,07,confirmed,0,0,0,,deleted; zip retained,60
2018,ok,cp1252->utf-8,89,2,14699426,33546,0,0,0,0,0,0,6.8,46.99,,15763,5523,1918,8061,2281,07,confirmed,0,0,0,,deleted; zip retained,62
2019,ok,cp1252->utf-8,89,2,15488135,35343,0,0,0,0,0,0,9.08,43.49,,15372,5392,1880,9490,3209,07,confirmed,0,0,0,,deleted; zip retained,65
2020,ok,cp1252->utf-8,89,2,15516490,35675,0,0,0,0,0,0,8.8,42.01,,14986,5680,1917,9954,3138,07,confirmed,0,0,0,,deleted; zip retained,67
2021,ok,utf-8,89,2,15945133,37082,0,0,0,0,0,0,8.14,40.57,,15046,6185,2027,10804,3020,07,confirmed,0,0,0,,deleted; zip retained,39
2022,ok,utf-8,89,2,16868061,39056,0,0,0,0,0,0,12.44,38.94,,15208,6421,1856,10713,4858,07,confirmed,0,0,0,,deleted; zip retained,43
2023,ok,utf-8+quote-repair,89,2,17458970,40171,0,0,0,0,0,0,11.67,48.91,,19646,0,0,20525,0,07,confirmed,0,0,85,,deleted; zip retained,108
2024,ok,utf-8+quote-repair,89,2,18245742,41341,0,0,0,0,0,0,8.81,44.33,,18325,0,0,23016,0,07,confirmed,0,0,3,,deleted; zip retained,114
2025,ok,utf-8,89,2,18191495,41134,0,0,0,0,0,0,7.94,37.07,,15248,0,0,25886,0,07,confirmed,0,0,0,,deleted; zip retained,46
