tier,flagged,firms,employees,A_every_employee,B_full_time_only
broad (no policy exemptions),kept,259,433815,153035657.75124,123499775.80525067
broad (no policy exemptions),removed,253,394707,139239642.160872,112366391.22382371
less education,kept,247,402723,142067423.202408,114648410.52434325
less education,removed,241,363615,128271407.61204,103515025.94291627
less education + hospitals,kept,229,341143,120344025.43072802,97117628.5225975
less education + hospitals,removed,223,308185,108717527.48076001,87735044.67697333
less education + all health,kept,219,324915,114619320.99684,92497792.04444988
less education + all health,removed,213,299957,105814959.814872,85392672.57060172
"less education, health, civic",kept,212,318483,112350323.035368,90666710.68954198
"less education, health, civic",removed,206,293525,103545961.8534,83561591.2156938
