company,firm_id,naics2,naics3,n_components,n_estab,emp_all,emp_clean,emp_obs,n_flagged
UNIVERSITY-CHICAGO BOARD-TRSTS,820452373,61,541,1,76.0,19684.0,19684.0,18551.0,0.0
NORTHWESTERN MEMORIAL HOSP,NORTHWESTERN MEMORIAL HEALTHCARE,62,622,686,790.0,15690.0,15690.0,12851.0,0.0
MT SINAI HOSPITAL,SINAI CHICAGO,62,622,75,92.0,10982.0,6832.0,10668.0,49.0
ADVOCATE IL MASONIC MED CTR,ADVOCATE HEALTH CARE,62,622,791,923.0,9682.0,7682.0,6493.0,1.0
JOHNSTON R BOWMAN HEALTH CTR,RUSH UNIVERSITY SYSTEM,62,621,200,200.0,8533.0,533.0,8238.0,1.0
UNITED AIRLINES HOLDINGS INC,007538044,54,481,1,5.0,8146.0,8146.0,8000.0,0.0
MCDONALD'S CORP,001682400,42,722,1,113.0,7924.0,7924.0,7431.0,0.0
JEWEL-OSCO,005995907,44,445,1,69.0,7241.0,7241.0,6162.0,0.0
CNA FINANCIAL CORP,433090792,52,524,1,8.0,7212.0,7212.0,7085.0,0.0
HEALTH CARE SVC CORP,507636348,52,524,1,4.0,7063.0,7063.0,7001.0,0.0
BAKER & MCKENZIE LLP,424821023,54,541,1,3.0,7008.0,7008.0,7005.0,0.0
STATE STREET GLOBAL ADVISORS,107286601,52,523,1,1.0,7000.0,0.0,7000.0,1.0
ACCENTURE LIMITED,402852537,51,541,1,3.0,6405.0,6405.0,6400.0,0.0
BMO FINANCIAL CORP,412706689,52,551,1,34.0,6339.0,6339.0,6256.0,0.0
NORTHERN TRUST CORP,424806438,52,551,1,7.0,6048.0,6048.0,6021.0,0.0
EXELON CORP,552852329,23,221,1,4.0,6027.0,6027.0,6000.0,0.0
CHICAGO MARRIOTT DOWNTOWN,400857322,72,721,1,39.0,5950.0,5950.0,4942.0,0.0
UI HEALTH,UI HEALTH,62,622,9,58.0,5936.0,5936.0,4958.0,0.0
MERRY MAIDS,214490476,32,238,1,583.0,5918.0,0.0,3927.0,1.0
UNITED STATES POSTAL SVC,801175985,48,491,1,2187.0,5161.0,5161.0,4892.0,0.0
DELOITTE,001122381,52,541,1,2.0,5006.0,5006.0,5000.0,0.0
ODYSSEY CRUISES CHICAGO,726216376,56,561,1,1.0,5000.0,0.0,5000.0,1.0
PALMER HOUSE A HILTON HOTEL,434496131,72,721,1,33.0,4659.0,4659.0,4282.0,0.0
ANN-ROBERT H LURIE CHILDREN'S,LURIE CHILDREN'S,62,622,107,112.0,4159.0,4159.0,4031.0,0.0
CHARMS CO,009382458,42,311,1,7.0,4083.0,4083.0,3900.0,0.0
CITY COLLEGES-CHICAGO-HARRY S,754680184,61,611,1,14.0,4078.0,4078.0,3927.0,0.0
DLA PIPER LLP,001174812,54,541,1,1.0,4036.0,0.0,4036.0,1.0
TARGET,002937415,44,452,1,24.0,3780.0,3780.0,2259.0,0.0
HYATT REGENCY CHICAGO,441363611,72,721,1,19.0,3756.0,3756.0,3474.0,0.0
MAYER BROWN,001330802,54,541,1,4.0,3645.0,3645.0,3501.0,0.0
MARIANO'S,007521503,42,445,1,39.0,3434.0,3434.0,1331.0,0.0
LEO BURNETT CO INC,004557500,54,541,1,2.0,3254.0,3254.0,3254.0,0.0
ST MARY OF NAZARETH HOSPITAL,400827357,62,622,1,11.0,3168.0,3168.0,3044.0,0.0
WALGREENS,007539588,45,446,1,117.0,2942.0,2942.0,2448.0,0.0
BANK OF AMERICA,007526478,52,522,1,74.0,2894.0,2894.0,2601.0,0.0
STARBUCKS,303651459,54,722,1,185.0,2423.0,2423.0,1353.0,0.0
AMTRAK MARKETING DEPT,801407271,48,485,1,3.0,2418.0,2418.0,2400.0,0.0
ASCENSION ST JOSEPH-CHICAGO,467049706,62,622,1,25.0,2412.0,2412.0,2145.0,0.0
HOME DEPOT,007556426,23,444,1,23.0,2199.0,2199.0,1691.0,0.0
LOYOLA UNIVERSITY CHICAGO,738425337,71,611,1,10.0,2173.0,2173.0,2007.0,0.0
QUAKER OATS CO,007529209,31,311,1,3.0,2172.0,2172.0,2100.0,0.0
SHAW'S CRAB HOUSE,151554573,72,722,1,43.0,2077.0,2077.0,1486.0,0.0
UBS FINANCIAL SVC,007528383,52,523,1,13.0,2071.0,2071.0,2000.0,0.0
US GENERAL SVC ADMINISTRATION,470448572,54,921,1,2.0,2013.0,2013.0,2000.0,0.0
INSUREON,404702791,52,524,1,1.0,2004.0,0.0,2004.0,1.0
UNITED CENTER,417443926,71,711,1,1.0,2000.0,2000.0,2000.0,0.0
S & C ELECTRIC CO,009317371,23,423,1,1.0,2000.0,2000.0,2000.0,0.0
SP PLUS CORP,804424223,56,812,1,299.0,1982.0,1982.0,454.0,0.0
WHOLE FOODS MARKET,886012012,44,445,1,263.0,1960.0,1960.0,1664.0,0.0
JONES LANG LASALLE INC,820154003,52,531,1,20.0,1919.0,1919.0,1842.0,0.0
MACY'S,004586681,45,452,1,12.0,1916.0,1916.0,1830.0,0.0
DDB CHICAGO,004630315,54,541,1,19.0,1826.0,1826.0,1408.0,0.0
TEMPEL STEEL CO,009287483,33,238,1,1.0,1800.0,1800.0,1800.0,0.0
INTERCONTINENTAL CHICAGO,510184948,48,721,1,13.0,1786.0,1786.0,1747.0,0.0
MARSH & MC LENNAN AGENCY,806920021,52,524,1,8.0,1735.0,1735.0,1620.0,0.0
PRICEWATERHOUSE COOPERS,006407589,52,523,1,3.0,1714.0,1714.0,1700.0,0.0
DART CONTAINER SOLO,009450149,32,322,1,1.0,1700.0,1700.0,1700.0,0.0
BAGCRAFT PACKAGING,403476608,32,322,1,129.0,1684.0,1684.0,984.0,0.0
INSIGHT HOSPITAL & MEDICAL CTR,401637651,62,622,1,10.0,1675.0,1675.0,1613.0,0.0
SUN-TIMES MEDIA HOLDINGS LLC,900703026,54,511,1,4.0,1648.0,1648.0,1642.0,0.0
CIRCANA INC,457910685,51,541,1,16.0,1608.0,1608.0,1564.0,0.0
NORTHEASTERN IL UNIV FNDTN,742688354,81,541,1,5.0,1553.0,1553.0,1527.0,0.0
SECURITAS INC,004654984,23,561,1,2.0,1511.0,1511.0,1500.0,0.0
SARGENT & LUNDY LLC,005761499,54,541,1,1.0,1500.0,1500.0,1500.0,0.0
UPS CUSTOMER CTR,003869476,48,541,1,436.0,1471.0,1471.0,703.0,0.0
UNITED STATES GYPSUM CO,007538564,32,327,1,3.0,1469.0,1469.0,1400.0,0.0
TACO BELL,959792284,72,722,1,76.0,1462.0,1462.0,903.0,0.0
ARCHER-DANIELS-MIDLAND CO,007502875,11,311,1,5.0,1440.0,1440.0,1430.0,0.0
SKIDMORE OWINGS & MERRILL LLP,424597185,81,541,1,1.0,1400.0,1400.0,1400.0,0.0
EQ OFFICE,680258050,54,531,1,49.0,1366.0,1366.0,737.0,0.0
DOLLAR TREE,678851924,45,452,1,124.0,1353.0,1353.0,952.0,0.0
BAIRD & WARNER REAL ESTATE,421766768,55,531,1,10.0,1325.0,1325.0,1074.0,0.0
OAK STREET HEALTH PORTAGE PARK,400624805,62,621,1,87.0,1319.0,1319.0,525.0,0.0
BURGER KING,422011576,72,722,1,46.0,1316.0,1316.0,1050.0,0.0
COMMUNITY FIRST MEDICAL CTR,COMMUNITY FIRST MEDICAL CENTER,62,622,14,16.0,1315.0,1315.0,1200.0,0.0
KPMG,433570033,54,541,1,1.0,1300.0,1300.0,1300.0,0.0
ALLIANCE GROUND INTL,789889894,48,488,1,4.0,1259.0,1259.0,1250.0,0.0
CHASE,433091519,52,522,1,82.0,1251.0,1251.0,1043.0,0.0
AMERICAN MEDICAL ASSN,496971326,51,813,1,4.0,1235.0,1235.0,1230.0,0.0
PEOPLES GAS,832371389,21,221,1,6.0,1224.0,1224.0,1200.0,0.0
WALMART SUPERCENTER,005889993,44,452,1,19.0,1217.0,1217.0,870.0,0.0
MONDELEZ INTERNATIONAL INC,860048156,31,311,1,2.0,1203.0,1203.0,1200.0,0.0
AT WORLD PROPERTIES LLC,713858228,53,531,1,14.0,1185.0,1185.0,1148.0,0.0
SEYFARTH SHAW LLP,001330794,54,541,1,4.0,1140.0,1140.0,1001.0,0.0
TRANSUNION INTERMEDIATE HLDNGS,434533054,52,561,1,4.0,1139.0,1139.0,1100.0,0.0
BHHS CHICAGO,002363950,52,531,1,31.0,1138.0,1138.0,996.0,0.0
JAMESON SOTHEBY'S INTL REALTY,416148006,53,531,1,29.0,1135.0,1135.0,944.0,0.0
CHICAGO STATE UNIVERSITY,738420292,61,611,1,5.0,1121.0,1121.0,950.0,0.0
CBOE FUTURES EXCHANGE LLC,458460003,23,523,1,7.0,1116.0,1116.0,900.0,0.0
ROCKFON LLC,367784493,23,332,1,1.0,1112.0,1112.0,1112.0,0.0
UNI CARE LIFE & HEALTH INS CO,582011136,62,524,1,3.0,1105.0,1105.0,1100.0,0.0
EDSAL MANUFACTURING CO INC,385902457,44,337,1,2.0,1105.0,1105.0,1100.0,0.0
PATRICK J MCNERNEY MEYER BROWN,416870134,54,541,1,1.0,1105.0,1105.0,1105.0,0.0
DEPAUL UNIVERSITY-LOOP CAMPUS,721488907,45,611,1,4.0,1089.0,1089.0,1001.0,0.0
ALDI,200026573,44,445,1,34.0,1061.0,1061.0,0.0,0.0
MATTRESS FIRM,237855895,33,442,1,14.0,1061.0,1061.0,1004.0,0.0
GREAT DANE TRAILERS,007656051,42,336,1,3.0,1055.0,1055.0,1050.0,0.0
RATE,746795206,52,522,1,21.0,1037.0,1037.0,957.0,0.0
POTBELLY CORP,224249342,53,722,1,51.0,1036.0,1036.0,742.0,0.0
AON CORP,003901832,52,524,1,6.0,1029.0,1029.0,1013.0,0.0
KIRKLAND & ELLIS LLP,467853073,54,541,1,3.0,1009.0,1009.0,1000.0,0.0
CHIPOTLE MEXICAN GRILL,557193513,72,722,1,43.0,1008.0,1008.0,634.0,0.0
MOTOROLA MOBILITY HOLDINGS LLC,611335779,53,334,1,1.0,1001.0,1001.0,1001.0,0.0
MCCORMICK PLACE,243185816,71,722,1,1.0,1001.0,1001.0,1001.0,0.0
RSM US LLP,148003965,52,541,1,1.0,1000.0,1000.0,1000.0,0.0
AMERICAN MEDICAL ASSOC,458512076,81,813,1,1.0,1000.0,1000.0,1000.0,0.0
METROPOLITAN PIER & EXPOSITION,507800415,71,561,1,1.0,1000.0,1000.0,1000.0,0.0
CLARK CONSTRUCTION GROUP,367209509,23,236,1,1.0,1000.0,1000.0,1000.0,0.0
SIDLEY AUSTIN LLP,533767356,54,541,1,1.0,1000.0,1000.0,1000.0,0.0
INPUT CENTER INC,410776136,56,561,1,1.0,1000.0,1000.0,1000.0,0.0
MC AULEY RESIDENCE,401537560,62,623,1,1.0,1000.0,1000.0,1000.0,0.0
ISMS DIVISION OF SPECIALTY SVC,400403224,62,236,1,1.0,1000.0,1000.0,1000.0,0.0
CHICAGO SYMPHONY CTR,475652731,71,711,1,1.0,1000.0,1000.0,1000.0,0.0
