firm_id,company,naics2,naics_full,n_estab,n_unknown,emp,max_estab_emp,round_500,round_100,single_site_large,many_estabs,no_sector,incomplete,review_keep,review_sector,review_emp,review_note
820452373,UNIVERSITY-CHICAGO BOARD-TRSTS,99,54161110,76,2.0,19684.0,8534,False,False,False,False,True,True,,,,
610835209,NORTHWESTERN MEMORIAL HOSP,62,62211003,105,2.0,10881.0,8375,False,False,False,True,False,True,,,,
007538044,UNITED AIRLINES HOLDINGS INC,54,48111102,5,0.0,8146.0,4000,False,False,False,False,False,False,,,,
448897181,JOHNSTON R BOWMAN HEALTH CTR,62,62149301,1,0.0,8000.0,8000,True,True,True,False,False,False,,,,
001682400,MCDONALD'S CORP,42,72231009,113,0.0,7924.0,3000,False,False,False,True,False,False,,,,
005995907,JEWEL-OSCO,44,44511003,69,0.0,7241.0,330,False,False,False,False,False,False,,,,
433090792,CNA FINANCIAL CORP,52,52429819,8,0.0,7212.0,5000,False,False,False,False,False,False,,,,
507636348,HEALTH CARE SVC CORP,52,52421001,4,0.0,7063.0,5000,False,False,False,False,False,False,,,,
424821023,BAKER & MCKENZIE LLP,54,54111002,3,0.0,7008.0,7000,False,False,False,False,False,False,,,,
107286601,STATE STREET GLOBAL ADVISORS,52,52393002,1,0.0,7000.0,7000,True,True,True,False,False,False,,,,
820310522,MT SINAI HOSPITAL,62,62211002,18,0.0,6789.0,3000,False,False,False,False,False,False,,,,
497076042,ADVOCATE IL MASONIC MED CTR,62,62211002,133,1.0,6471.0,2214,False,False,False,True,False,True,,,,
402852537,ACCENTURE LIMITED,51,54161401,3,0.0,6405.0,6200,False,False,False,False,False,False,,,,
412706689,BMO FINANCIAL CORP,52,55111101,34,0.0,6339.0,3000,False,False,False,False,False,False,,,,
424806438,NORTHERN TRUST CORP,52,55111101,7,0.0,6048.0,6000,False,False,False,False,False,False,,,,
552852329,EXELON CORP,23,22112202,4,0.0,6027.0,5000,False,False,False,False,False,False,,,,
400857322,CHICAGO MARRIOTT DOWNTOWN,72,72111002,39,0.0,5950.0,900,False,False,False,False,False,False,,,,
004588000,UI HEALTH,62,62211002,50,1.0,5919.0,4186,False,False,False,False,False,True,,,,
214490476,MERRY MAIDS,32,23899072,583,1.0,5918.0,60,False,False,False,True,False,True,,,,
801175985,UNITED STATES POSTAL SVC,48,49111001,2187,2121.0,5161.0,1000,False,False,False,True,False,True,,,,
001122381,DELOITTE,52,54121101,2,0.0,5006.0,5000,False,False,False,False,False,False,,,,
726216376,ODYSSEY CRUISES CHICAGO,,56151001,1,0.0,5000.0,5000,True,True,True,False,True,False,,,,
434496131,PALMER HOUSE A HILTON HOTEL,72,72111002,33,0.0,4659.0,1200,False,False,False,False,False,False,,,,
009382458,CHARMS CO,42,31135201,7,0.0,4083.0,650,False,False,False,False,False,False,,,,
754680184,CITY COLLEGES-CHICAGO-HARRY S,61,61121002,14,0.0,4078.0,2000,False,False,False,False,False,False,,,,
407427249,ANN-ROBERT H LURIE CHILDREN'S,62,62211002,6,0.0,4053.0,4002,False,False,False,False,False,False,,,,
001174812,DLA PIPER LLP,,54111002,1,0.0,4036.0,4036,False,False,True,False,True,False,,,,
458537792,SINAI MEDICAL GROUP,62,62149301,1,0.0,4000.0,4000,True,True,True,False,False,False,,,,
002937415,TARGET,44,45211101,24,1.0,3780.0,500,False,False,False,False,False,True,,,,
441363611,HYATT REGENCY CHICAGO,72,72111002,19,0.0,3756.0,1499,False,False,False,False,False,False,,,,
001330802,MAYER BROWN,54,54111002,4,0.0,3645.0,2501,False,False,False,False,False,False,,,,
402872899,CITY-CHICAGO STREETS DEPT,92,23731007,1,0.0,3500.0,3500,True,True,True,False,False,False,,,,
007521503,MARIANO'S,42,44511003,39,0.0,3434.0,500,False,False,False,False,False,False,,,,
004557500,LEO BURNETT CO INC,54,54181001,2,0.0,3254.0,2254,False,False,False,False,False,False,,,,
400827357,ST MARY OF NAZARETH HOSPITAL,62,62211002,11,0.0,3168.0,1547,False,False,False,False,False,False,,,,
230153157,CHICAGO TRANSIT AUTHORITY,48,48511901,170,0.0,3162.0,1200,False,False,False,True,False,False,,,,
003420254,COOK COUNTY DEPT OF CORRECTION,92,92112007,1,0.0,3077.0,3077,False,False,True,False,False,False,,,,
440458614,NORTHWESTERN MEMORIAL PHYS GRP,62,62111107,1,0.0,3000.0,3000,True,True,True,False,False,False,,,,
007539588,WALGREENS,45,44611009,117,0.0,2942.0,90,False,False,False,True,False,False,,,,
007526478,BANK OF AMERICA,52,52211002,74,6.0,2894.0,1300,False,False,False,False,False,True,,,,
408242873,STATE ATTORNEY,92,92112008,4,0.0,2780.0,2000,False,False,False,False,False,False,,,,
