target,est_2011,est_2025,firm_2011,firm_2025,est_11v25,firm_11v25
20,8.2,9.2,8.5,9.7,0.89,0.88
25,6.9,6.8,7.7,7.3,1.01,1.05
30,16.4,16.1,17.3,16.6,1.02,1.04
35,7.9,7.2,7.6,6.9,1.1,1.1
40,19.3,21.2,19.0,22.1,0.91,0.86
45,7.5,8.1,6.8,6.8,0.93,1.0
50,39.8,27.4,40.7,26.6,1.45,1.53
55,6.3,4.5,6.1,3.8,1.4,1.61
60,31.2,32.7,30.9,33.2,0.95,0.93
70,21.3,24.0,21.7,24.4,0.89,0.89
75,24.7,23.6,24.2,25.2,1.05,0.96
80,28.6,31.2,25.0,29.8,0.92,0.84
90,12.7,11.4,12.1,11.4,1.11,1.06
100,81.4,80.0,68.9,68.4,1.02,1.01
125,29.2,16.9,16.0,13.6,1.73,1.18
150,213.9,193.8,115.0,142.2,1.1,0.81
175,48.6,34.0,32.0,30.6,1.43,1.05
200,318.3,268.8,189.6,185.5,1.18,1.02
250,355.2,309.3,147.2,168.0,1.15,0.88
300,760.4,389.4,356.9,274.2,1.95,1.3
400,689.0,468.0,280.8,124.8,1.47,2.25
500,976.0,451.2,408.0,181.3,2.16,2.25
