period,emp,n
Full tax: 1998-2011,45,297.57142857142856
Full tax: 1998-2011,46,19.69047619047619
Full tax: 1998-2011,47,32.166666666666664
Full tax: 1998-2011,48,44.38095238095238
Full tax: 1998-2011,49,32.785714285714285
Full tax: 1998-2011,50,924.6666666666666
Full tax: 1998-2011,51,20.333333333333332
Full tax: 1998-2011,52,38.404761904761905
Full tax: 1998-2011,53,22.38095238095238
Full tax: 1998-2011,54,26.857142857142858
Full tax: 1998-2011,55,148.14285714285714
Phase-out: 2012-2013,45,245.83333333333334
Phase-out: 2012-2013,46,15.5
Phase-out: 2012-2013,47,24.666666666666668
Phase-out: 2012-2013,48,33.833333333333336
Phase-out: 2012-2013,49,37.333333333333336
Phase-out: 2012-2013,50,928.8333333333334
Phase-out: 2012-2013,51,20.666666666666668
Phase-out: 2012-2013,52,36.333333333333336
Phase-out: 2012-2013,53,18.5
Phase-out: 2012-2013,54,22.5
Phase-out: 2012-2013,55,136.16666666666666
No tax: 2014-2025,45,199.69444444444446
No tax: 2014-2025,46,14.222222222222221
No tax: 2014-2025,47,18.083333333333332
No tax: 2014-2025,48,25.0
No tax: 2014-2025,49,42.77777777777778
No tax: 2014-2025,50,807.8888888888889
No tax: 2014-2025,51,60.47222222222222
No tax: 2014-2025,52,31.77777777777778
No tax: 2014-2025,53,14.472222222222221
No tax: 2014-2025,54,20.27777777777778
No tax: 2014-2025,55,114.30555555555556
