year,metro_by_county,metro_by_vendor_cbsa,cbsa_but_not_county,county_but_not_cbsa,out_of_state_rows,other_out_of_state_rows
1997,357903,359775,1872,0,28216,0
1998,336316,338162,1851,5,26560,0
1999,342212,344007,1797,2,26636,0
2000,345620,347443,1827,4,26700,0
2001,362253,364143,1895,5,30439,0
2002,374592,376574,1987,5,30050,0
2003,373983,375912,1929,0,29965,0
2004,362497,364370,1873,0,30233,0
2005,387913,389985,2072,0,31524,0
2006,384150,386182,2032,0,31648,0
2007,393572,395609,2037,0,31868,0
2008,409342,411471,2129,0,31824,0
2009,392723,394701,1978,0,31519,0
2010,402252,404399,2147,0,31987,0
2011,382004,384024,2020,0,29417,0
2012,423564,423596,32,0,34822,0
2013,470567,470574,7,0,38232,0
2014,460205,460212,7,0,37099,0
2015,446558,446687,129,0,36228,0
2016,446815,446817,2,0,35732,0
2017,412530,412531,1,0,33353,0
2018,401439,401442,3,0,33546,0
2019,408412,408413,1,0,35343,0
2020,410656,410658,2,0,35675,0
2021,423733,423733,0,0,37082,0
2022,451686,451689,3,0,39056,0
2023,469112,470688,1576,0,40171,0
2024,489597,483973,1490,7114,41341,0
2025,490126,484447,1508,7187,41134,0
