year,chicago_emp_class,firms_with_chicago_sites,firms_in_and_out,chicago_emp,emp_elsewhere_in_il,chicago_sites
1997,100-249,1350,221,191585.0,126965.0,2669.0
1997,250-499,424,114,139179.0,139278.0,1722.0
1997,50-99,2175,160,139944.0,72732.0,2707.0
1997,500+,336,160,521325.0,380453.0,3194.0
1997,under 50,99239,884,528681.0,257758.0,100113.0
1998,100-249,1290,201,181949.0,105543.0,2484.0
1998,250-499,421,117,138121.0,130200.0,1499.0
1998,50-99,2092,155,134848.0,88909.0,2632.0
1998,500+,318,149,465856.0,369191.0,2761.0
1998,under 50,92917,831,414967.0,230901.0,93724.0
1999,100-249,1350,199,191079.0,135004.0,2510.0
1999,250-499,422,110,139060.0,116392.0,1585.0
1999,50-99,2178,163,140393.0,80140.0,2803.0
1999,500+,353,159,527347.0,384251.0,2982.0
1999,under 50,98307,810,429556.0,226366.0,99090.0
2000,100-249,1335,198,189211.0,125753.0,2501.0
2000,250-499,418,112,137331.0,118629.0,1557.0
2000,50-99,2158,167,139297.0,85214.0,2811.0
2000,500+,352,161,525146.0,387418.0,3049.0
2000,under 50,98909,830,429471.0,237839.0,99726.0
2001,100-249,1332,209,188465.0,147205.0,2542.0
2001,250-499,387,86,124772.0,98085.0,1288.0
2001,50-99,2154,154,139156.0,81569.0,2725.0
2001,500+,345,160,515204.0,400894.0,3104.0
2001,under 50,98716,825,424028.0,237107.0,99581.0
2002,100-249,1310,212,187846.0,162253.0,2593.0
2002,250-499,362,85,116809.0,89294.0,1212.0
2002,50-99,2081,168,134791.0,98329.0,2696.0
2002,500+,328,148,496765.0,389989.0,3099.0
2002,under 50,100064,802,410095.0,196648.0,100988.0
2003,100-249,1410,229,202420.0,180802.0,2892.0
2003,250-499,371,89,118685.0,92067.0,1253.0
2003,50-99,2086,167,134881.0,83710.0,2609.0
2003,500+,324,143,496931.0,389281.0,3296.0
2003,under 50,100008,782,542019.0,197425.0,100808.0
2004,100-249,1319,207,190464.0,170752.0,2675.0
2004,250-499,377,105,120925.0,134612.0,1502.0
2004,50-99,2022,158,130956.0,90561.0,2594.0
2004,500+,311,141,434811.0,387934.0,3268.0
2004,under 50,94264,766,517194.0,181449.0,95011.0
2005,100-249,1313,217,190007.0,152481.0,2635.0
2005,250-499,389,118,125450.0,190376.0,1837.0
2005,50-99,2015,165,130677.0,85881.0,2686.0
2005,500+,304,139,430796.0,393392.0,3445.0
2005,under 50,99978,824,536912.0,195386.0,100804.0
2006,100-249,1340,251,193259.0,211167.0,2831.0
2006,250-499,379,119,123681.0,148339.0,1902.0
2006,50-99,2094,191,135138.0,85900.0,2689.0
2006,500+,313,139,463506.0,407538.0,3282.0
2006,under 50,95499,832,536516.0,209628.0,96326.0
2007,100-249,1324,260,190146.0,252324.0,2917.0
2007,250-499,389,124,125762.0,134383.0,1919.0
2007,50-99,2237,211,145482.0,105359.0,2962.0
2007,500+,329,164,480186.0,470758.0,3797.0
2007,under 50,104852,852,554796.0,218947.0,105749.0
2008,100-249,1360,235,193531.0,177743.0,2677.0
2008,250-499,423,124,136052.0,198989.0,2010.0
2008,50-99,2296,212,148841.0,119301.0,3048.0
2008,500+,350,161,497140.0,483867.0,3841.0
2008,under 50,109023,845,565614.0,224760.0,109887.0
2009,100-249,1274,232,181395.0,142193.0,2693.0
2009,250-499,369,117,120322.0,212521.0,1765.0
2009,50-99,2194,209,141540.0,106968.0,2989.0
2009,500+,339,161,518445.0,506167.0,3974.0
2009,under 50,105972,865,546541.0,232842.0,106817.0
2010,100-249,1262,234,179067.0,137179.0,2618.0
2010,250-499,363,122,118697.0,202060.0,1885.0
2010,50-99,2136,214,137803.0,103283.0,2930.0
2010,500+,325,160,496750.0,517735.0,3951.0
2010,under 50,105573,867,535694.0,235334.0,106447.0
2011,100-249,1181,234,168270.0,129184.0,2478.0
2011,250-499,338,130,109833.0,165840.0,1791.0
2011,50-99,2070,231,134047.0,96299.0,2998.0
2011,500+,314,162,485506.0,544666.0,4151.0
2011,under 50,101261,875,519648.0,213245.0,102114.0
2012,100-249,1176,235,167286.0,154159.0,2500.0
2012,250-499,334,138,110418.0,163346.0,2029.0
2012,50-99,2080,231,135367.0,95827.0,2989.0
2012,500+,316,161,485536.0,593006.0,4130.0
2012,under 50,106545,896,539422.0,222201.0,107735.0
2013,100-249,1223,274,174730.0,164127.0,2641.0
2013,250-499,368,156,122203.0,174783.0,1967.0
2013,50-99,2050,255,131730.0,124329.0,3119.0
2013,500+,339,186,528108.0,689485.0,5007.0
2013,under 50,125183,967,599627.0,214906.0,126610.0
2014,100-249,1192,273,169984.0,164128.0,2602.0
2014,250-499,369,166,121209.0,192519.0,2283.0
2014,50-99,2036,258,130026.0,130772.0,3083.0
2014,500+,356,190,554181.0,672655.0,4930.0
2014,under 50,120251,991,580912.0,227947.0,121745.0
2015,100-249,1165,264,166278.0,172479.0,2511.0
2015,250-499,376,157,126271.0,202280.0,2350.0
2015,50-99,1972,250,126207.0,107184.0,2959.0
2015,500+,355,187,556916.0,672682.0,4938.0
2015,under 50,113981,1048,552575.0,258342.0,115556.0
2016,100-249,1188,263,168241.0,179020.0,2493.0
2016,250-499,373,159,124421.0,184687.0,2499.0
2016,50-99,2038,272,129785.0,97954.0,3084.0
2016,500+,340,181,570602.0,666818.0,4852.0
