year,geo,band,n,n_observed,pct_observed,n_verified_last_12m,median_months_since_verified
1997,chicago,1-9,85392,0,0.0,0,
1997,chicago,10-49,16307,0,0.0,0,
1997,chicago,100-249,1510,0,0.0,0,
1997,chicago,1000+,121,0,0.0,0,
1997,chicago,250-499,460,0,0.0,0,
1997,chicago,50-99,2511,0,0.0,0,
1997,chicago,500-999,185,0,0.0,0,
1997,chicago,unknown,3919,0,0.0,0,
1997,cook_ex_chicago,1-9,77121,0,0.0,0,
1997,cook_ex_chicago,10-49,17944,0,0.0,0,
1997,cook_ex_chicago,100-249,1576,0,0.0,0,
1997,cook_ex_chicago,1000+,79,0,0.0,0,
1997,cook_ex_chicago,250-499,384,0,0.0,0,
1997,cook_ex_chicago,50-99,2848,0,0.0,0,
1997,cook_ex_chicago,500-999,115,0,0.0,0,
1997,cook_ex_chicago,unknown,4296,0,0.0,0,
1997,il_ex_msa,1-9,136914,0,0.0,0,
1997,il_ex_msa,10-49,26215,0,0.0,0,
1997,il_ex_msa,100-249,1827,0,0.0,0,
1997,il_ex_msa,1000+,107,0,0.0,0,
1997,il_ex_msa,250-499,461,0,0.0,0,
1997,il_ex_msa,50-99,3626,0,0.0,0,
1997,il_ex_msa,500-999,163,0,0.0,0,
1997,il_ex_msa,unknown,5080,0,0.0,0,
1997,msa_ex_cook,1-9,87356,0,0.0,0,
1997,msa_ex_cook,10-49,18578,0,0.0,0,
1997,msa_ex_cook,100-249,1571,0,0.0,0,
1997,msa_ex_cook,1000+,74,0,0.0,0,
1997,msa_ex_cook,250-499,366,0,0.0,0,
1997,msa_ex_cook,50-99,2814,0,0.0,0,
1997,msa_ex_cook,500-999,123,0,0.0,0,
1997,msa_ex_cook,unknown,4037,0,0.0,0,
1997,msa_out_of_state,1-9,21685,0,0.0,0,
1997,msa_out_of_state,10-49,4687,0,0.0,0,
1997,msa_out_of_state,100-249,350,0,0.0,0,
1997,msa_out_of_state,1000+,16,0,0.0,0,
1997,msa_out_of_state,250-499,63,0,0.0,0,
1997,msa_out_of_state,50-99,694,0,0.0,0,
1997,msa_out_of_state,500-999,22,0,0.0,0,
1997,msa_out_of_state,unknown,699,0,0.0,0,
1998,chicago,1-9,65206,49930,76.57,0,
1998,chicago,10-49,13873,13774,99.29,0,
1998,chicago,100-249,1457,1456,99.93,0,
1998,chicago,1000+,113,113,100.0,0,
1998,chicago,250-499,451,450,99.78,0,
1998,chicago,50-99,2369,2362,99.7,0,
1998,chicago,500-999,174,174,100.0,0,
1998,chicago,unknown,19457,0,0.0,0,
1998,cook_ex_chicago,1-9,55927,47009,84.05,0,
1998,cook_ex_chicago,10-49,16403,16265,99.16,0,
1998,cook_ex_chicago,100-249,1562,1551,99.3,0,
1998,cook_ex_chicago,1000+,69,69,100.0,0,
1998,cook_ex_chicago,250-499,383,383,100.0,0,
1998,cook_ex_chicago,50-99,2855,2819,98.74,0,
1998,cook_ex_chicago,500-999,115,115,100.0,0,
1998,cook_ex_chicago,unknown,20028,0,0.0,0,
1998,il_ex_msa,1-9,113253,99169,87.56,0,
1998,il_ex_msa,10-49,25021,24853,99.33,0,
1998,il_ex_msa,100-249,1816,1801,99.17,0,
1998,il_ex_msa,1000+,120,120,100.0,0,
1998,il_ex_msa,250-499,474,474,100.0,0,
1998,il_ex_msa,50-99,3645,3609,99.01,0,
1998,il_ex_msa,500-999,175,175,100.0,0,
1998,il_ex_msa,unknown,23794,0,0.0,0,
1998,msa_ex_cook,1-9,64725,55451,85.67,0,
1998,msa_ex_cook,10-49,17423,17297,99.28,0,
1998,msa_ex_cook,100-249,1566,1558,99.49,0,
1998,msa_ex_cook,1000+,73,73,100.0,0,
1998,msa_ex_cook,250-499,372,372,100.0,0,
1998,msa_ex_cook,50-99,2803,2774,98.97,0,
1998,msa_ex_cook,500-999,127,127,100.0,0,
1998,msa_ex_cook,unknown,22225,0,0.0,0,
1998,msa_out_of_state,1-9,16762,13948,83.21,0,
1998,msa_out_of_state,10-49,4418,4383,99.21,0,
1998,msa_out_of_state,100-249,344,343,99.71,0,
1998,msa_out_of_state,1000+,17,17,100.0,0,
1998,msa_out_of_state,250-499,60,60,100.0,0,
1998,msa_out_of_state,50-99,685,674,98.39,0,
1998,msa_out_of_state,500-999,19,19,100.0,0,
1998,msa_out_of_state,unknown,4255,0,0.0,0,
1999,chicago,1-9,66860,50974,76.24,0,
1999,chicago,10-49,14383,14279,99.28,0,
1999,chicago,100-249,1521,1519,99.87,0,
1999,chicago,1000+,131,131,100.0,0,
1999,chicago,250-499,454,454,100.0,0,
1999,chicago,50-99,2446,2441,99.8,0,
1999,chicago,500-999,201,201,100.0,0,
1999,chicago,unknown,22974,0,0.0,0,
1999,cook_ex_chicago,1-9,56217,47471,84.44,0,
1999,cook_ex_chicago,10-49,16338,16219,99.27,0,
1999,cook_ex_chicago,100-249,1578,1568,99.37,0,
1999,cook_ex_chicago,1000+,72,72,100.0,0,
1999,cook_ex_chicago,250-499,377,377,100.0,0,
1999,cook_ex_chicago,50-99,2840,2801,98.63,0,
1999,cook_ex_chicago,500-999,117,117,100.0,0,
1999,cook_ex_chicago,unknown,18157,0,0.0,0,
1999,il_ex_msa,1-9,114185,99809,87.41,0,
1999,il_ex_msa,10-49,25499,25343,99.39,0,
1999,il_ex_msa,100-249,1820,1808,99.34,0,
1999,il_ex_msa,1000+,118,118,100.0,0,
1999,il_ex_msa,250-499,484,484,100.0,0,
1999,il_ex_msa,50-99,3725,3693,99.14,0,
1999,il_ex_msa,500-999,178,178,100.0,0,
1999,il_ex_msa,unknown,24345,0,0.0,0,
1999,msa_ex_cook,1-9,66674,57125,85.68,0,
1999,msa_ex_cook,10-49,17714,17590,99.3,0,
1999,msa_ex_cook,100-249,1562,1552,99.36,0,
1999,msa_ex_cook,1000+,81,81,100.0,0,
1999,msa_ex_cook,250-499,395,395,100.0,0,
1999,msa_ex_cook,50-99,2877,2848,98.99,0,
1999,msa_ex_cook,500-999,130,130,100.0,0,
1999,msa_ex_cook,unknown,21477,0,0.0,0,
1999,msa_out_of_state,1-9,17167,14334,83.5,0,
1999,msa_out_of_state,10-49,4486,4454,99.29,0,
1999,msa_out_of_state,100-249,346,344,99.42,0,
1999,msa_out_of_state,1000+,19,19,100.0,0,
1999,msa_out_of_state,250-499,59,59,100.0,0,
1999,msa_out_of_state,50-99,687,679,98.84,0,
1999,msa_out_of_state,500-999,26,26,100.0,0,
1999,msa_out_of_state,unknown,3846,0,0.0,0,
2000,chicago,1-9,67646,51266,75.79,0,
2000,chicago,10-49,14314,14209,99.27,0,
2000,chicago,100-249,1510,1508,99.87,0,
2000,chicago,1000+,131,131,100.0,0,
2000,chicago,250-499,451,451,100.0,0,
2000,chicago,50-99,2433,2428,99.79,0,
2000,chicago,500-999,197,197,100.0,0,
2000,chicago,unknown,22962,0,0.0,0,
2000,cook_ex_chicago,1-9,55969,46931,83.85,0,
2000,cook_ex_chicago,10-49,16141,15996,99.1,0,
2000,cook_ex_chicago,100-249,1580,1566,99.11,0,
2000,cook_ex_chicago,1000+,73,73,100.0,0,
2000,cook_ex_chicago,250-499,377,377,100.0,0,
2000,cook_ex_chicago,50-99,2817,2778,98.62,0,
2000,cook_ex_chicago,500-999,116,116,100.0,0,
2000,cook_ex_chicago,unknown,19325,1,0.01,0,
2000,il_ex_msa,1-9,114761,100155,87.27,0,
2000,il_ex_msa,10-49,25719,25578,99.45,0,
2000,il_ex_msa,100-249,1862,1847,99.19,0,
2000,il_ex_msa,1000+,114,114,100.0,0,
2000,il_ex_msa,250-499,493,493,100.0,0,
2000,il_ex_msa,50-99,3762,3734,99.26,0,
2000,il_ex_msa,500-999,179,179,100.0,0,
2000,il_ex_msa,unknown,23544,0,0.0,0,
2000,msa_ex_cook,1-9,67194,57355,85.36,0,
2000,msa_ex_cook,10-49,17806,17658,99.17,0,
2000,msa_ex_cook,100-249,1590,1580,99.37,0,
2000,msa_ex_cook,1000+,81,81,100.0,0,
2000,msa_ex_cook,250-499,399,399,100.0,0,
2000,msa_ex_cook,50-99,2909,2883,99.11,0,
2000,msa_ex_cook,500-999,132,132,100.0,0,
2000,msa_ex_cook,unknown,22767,0,0.0,0,
2000,msa_out_of_state,1-9,17257,14407,83.48,0,
2000,msa_out_of_state,10-49,4472,4440,99.28,0,
2000,msa_out_of_state,100-249,346,344,99.42,0,
2000,msa_out_of_state,1000+,19,19,100.0,0,
2000,msa_out_of_state,250-499,59,59,100.0,0,
2000,msa_out_of_state,50-99,684,676,98.83,0,
2000,msa_out_of_state,500-999,26,26,100.0,0,
2000,msa_out_of_state,unknown,3837,1,0.03,0,
2001,chicago,1-9,65670,49790,75.82,0,
2001,chicago,10-49,14108,13957,98.93,0,
2001,chicago,100-249,1514,1510,99.74,0,
2001,chicago,1000+,118,118,100.0,0,
2001,chicago,250-499,439,439,100.0,0,
2001,chicago,50-99,2438,2430,99.67,0,
2001,chicago,500-999,200,200,100.0,0,
2001,chicago,unknown,24753,0,0.0,0,
2001,cook_ex_chicago,1-9,57303,46768,81.62,0,
2001,cook_ex_chicago,10-49,16257,16069,98.84,0,
2001,cook_ex_chicago,100-249,1628,1612,99.02,0,
2001,cook_ex_chicago,1000+,76,76,100.0,0,
2001,cook_ex_chicago,250-499,383,382,99.74,0,
2001,cook_ex_chicago,50-99,2833,2798,98.76,0,
2001,cook_ex_chicago,500-999,118,118,100.0,0,
2001,cook_ex_chicago,unknown,21191,0,0.0,0,
2001,il_ex_msa,1-9,119091,101761,85.45,0,
2001,il_ex_msa,10-49,26499,26263,99.11,0,
2001,il_ex_msa,100-249,1879,1868,99.41,0,
2001,il_ex_msa,1000+,106,106,100.0,0,
2001,il_ex_msa,250-499,479,479,100.0,0,
2001,il_ex_msa,50-99,3870,3834,99.07,0,
2001,il_ex_msa,500-999,163,163,100.0,0,
2001,il_ex_msa,unknown,34535,0,0.0,0,
2001,msa_ex_cook,1-9,70429,58389,82.9,0,
2001,msa_ex_cook,10-49,18629,18390,98.72,0,
2001,msa_ex_cook,100-249,1686,1669,98.99,0,
2001,msa_ex_cook,1000+,89,89,100.0,0,
