year,rows,distinct_abi,prov_il_rows,in_chicago,prov_in_chicago,pct_emp_present,emp_min,emp_max,pct_actual,pct_with_parent,pct_naics8,pct_in_msa,pct_status_1239,pct_call_status,pct_tele_date,pct_year_estab_ok,pct_lat_in_il
1997,504080,504080,504080,110405,110405,96.6,1,9700,0.0,11.7,99.4,65.8,11.7,98.1,0.0,0.0,100.0
1998,478081,478081,478081,103100,103100,82.1,1,16230,72.0,11.7,99.5,65.2,11.7,99.8,0.0,0.0,100.0
1999,485948,485948,485948,108970,108970,82.1,1,16000,72.0,11.5,99.5,65.3,11.5,99.6,0.0,0.0,100.0
2000,489373,489373,489373,109644,109644,81.9,1,16000,71.6,11.5,99.1,65.5,11.5,98.8,0.0,0.0,100.0
2001,518456,518456,518456,109240,109240,79.0,1,22000,68.1,11.1,99.0,64.4,11.1,99.0,0.0,0.0,100.0
2002,536717,536717,536717,110588,110588,76.0,1,15000,65.2,11.0,99.5,64.6,11.0,98.6,0.0,0.0,100.0
2003,531507,531507,531507,110858,110858,97.3,1,16000,65.9,11.1,99.8,65.1,100.0,99.4,99.4,7.1,100.0
2004,516252,516252,516252,105050,105050,97.8,1,15000,67.7,11.6,99.8,64.7,100.0,99.5,99.5,7.1,100.0
2005,550996,550996,550996,111407,111407,97.0,1,16000,63.7,11.7,99.8,65.1,100.0,96.3,96.3,6.6,100.0
2006,542318,542318,542318,107030,107030,97.8,1,16000,63.6,12.3,99.8,65.4,100.0,98.1,98.1,16.2,100.0
2007,551181,551181,551181,117344,117344,99.9,1,18000,62.5,12.5,99.8,66.0,100.0,98.9,98.9,17.8,100.0
2008,562898,562898,562898,121463,121463,99.9,1,18000,61.1,12.5,99.8,67.4,100.0,98.4,98.4,18.9,100.0
2009,542859,542859,542859,118238,118238,99.8,1,20000,61.4,12.8,99.8,66.9,100.0,98.5,98.5,20.5,100.0
2010,558111,558111,558111,117831,117831,98.3,1,20000,59.8,12.6,99.8,66.7,100.0,97.3,97.3,10.1,100.0
2011,532373,532373,532373,113532,113532,98.2,1,20000,58.3,13.4,99.9,66.6,100.0,98.1,98.1,8.3,100.0
2012,594139,594139,594139,119383,119383,96.6,1,13000,53.0,13.1,99.9,65.4,100.0,93.5,93.5,7.1,100.0
2013,646315,646315,646315,139344,139344,97.1,1,13000,48.7,12.8,99.9,66.9,100.0,95.0,95.0,6.4,100.0
2014,633696,633696,633696,134643,134643,95.5,1,13000,48.1,13.3,99.9,66.8,100.0,93.5,93.5,6.2,100.0
2015,614317,614317,614317,128314,128314,94.6,1,13000,47.2,13.9,100.0,66.8,100.0,94.5,94.5,6.6,100.0
2016,613121,613121,613121,125995,125995,93.2,1,20000,46.1,13.8,99.8,67.0,100.0,93.8,93.8,12.3,100.0
2017,568682,568682,568682,112534,112534,93.3,1,20000,47.6,14.2,100.0,66.7,100.0,93.1,93.1,16.4,100.0
2018,551817,551817,551817,105932,105932,92.8,1,20000,46.2,13.6,99.9,66.7,100.0,88.7,88.7,19.2,100.0
2019,557414,557414,557414,112300,112300,92.3,1,20000,44.9,13.3,99.9,66.9,100.0,84.8,84.8,19.7,100.0
2020,557398,557398,557398,111288,111288,92.5,1,17000,43.3,14.7,99.8,67.3,100.0,80.5,80.5,22.0,100.0
2021,572795,572795,572795,115682,115682,92.8,1,17000,41.8,14.7,99.8,67.5,100.0,78.3,78.3,21.5,100.0
2022,606453,606453,606453,123118,123118,87.2,1,45000,39.5,15.9,99.8,68.0,100.0,73.8,73.8,20.4,100.0
2023,629381,629381,629381,129776,129776,89.8,1,45000,47.2,16.1,99.3,68.6,100.0,70.7,72.4,19.1,100.0
2024,656746,656746,656746,138165,138165,92.6,1,45000,42.3,16.2,100.0,68.7,100.0,67.6,69.0,18.3,100.0
2025,657269,657269,657269,137658,137658,92.7,1,45000,35.9,16.2,98.9,68.7,100.0,68.9,70.1,18.0,100.0
