unit,sample,control,threshold,n_years,gap_mean,gap_sd,mde,chicago_spike_mean,mde_pct_of_baseline
establishment,all,cook_ex_chicago,40,8,2.9015297675997953,4.48209736569943,8.96419473139886,20.347084256162645,44.05640935351128
establishment,all,cook_ex_chicago,50,8,-6.662487801770689,2.5131911676804672,5.0263823353609345,10.083860418678473,49.845814268219115
establishment,all,cook_ex_chicago,60,8,-0.8004351164653285,4.785813716449333,9.571627432898666,25.881773618538325,36.98211557666512
establishment,all,illinois_ex_cook,40,8,1.3282093410360263,4.421471544935326,8.842943089870651,20.347084256162645,43.46049280840981
establishment,all,illinois_ex_cook,50,8,-5.020892636115386,0.9366636413755031,1.8733272827510061,10.083860418678473,18.577481291599558
establishment,all,illinois_ex_cook,60,8,4.703172315352111,5.923932839310685,11.84786567862137,25.881773618538325,45.7768692874089
establishment,rows,cook_ex_chicago,40,8,5.41394894142407,2.100606925933855,4.20121385186771,25.763033052297164,16.307139937054533
establishment,rows,cook_ex_chicago,50,8,-6.6033608645549275,0.6544137422964655,1.308827484592931,11.572815771166034,11.309499005885051
establishment,rows,cook_ex_chicago,60,8,-42.98012820512821,6.216242472836585,12.43248494567317,43.22225274725275,28.76408367322638
establishment,rows,illinois_ex_cook,40,8,0.8900252881226662,2.064491493692516,4.128982987385032,25.763033052297164,16.026773629500394
establishment,rows,illinois_ex_cook,50,8,-7.271245026974448,0.7119879188584725,1.423975837716945,11.572815771166034,12.304488949567633
establishment,rows,illinois_ex_cook,60,8,3.6309460795431523,3.6086741473696082,7.2173482947392165,43.22225274725275,16.698223336352957
firm,all,cook_ex_chicago,40,8,-2.194318145883557,2.791016204923141,5.582032409846282,16.020650693756338,34.842732149585814
firm,all,cook_ex_chicago,50,8,-4.433528630481371,1.380001671040131,2.760003342080262,9.195076060818675,30.016101267948926
firm,all,cook_ex_chicago,60,8,5.014536511332597,5.533994613835802,11.067989227671603,18.73880900608639,59.06452872259227
firm,all,illinois_ex_cook,40,8,-2.1273957155709,2.907413970562727,5.814827941125454,16.020650693756338,36.29582875426928
firm,all,illinois_ex_cook,50,8,-3.728030260785623,1.0412550986773457,2.0825101973546913,9.195076060818675,22.648101914333452
firm,all,illinois_ex_cook,60,8,4.409752881619444,5.321547502119199,10.643095004238399,18.73880900608639,56.797072859761286
firm,rows,cook_ex_chicago,40,8,-2.221688474064754,3.2381350064706202,6.4762700129412405,23.078877075719056,28.0614606667966
firm,rows,cook_ex_chicago,50,8,-5.109793912274862,0.663872370561252,1.327744741122504,10.150822555331624,13.08016896054516
firm,rows,cook_ex_chicago,60,8,-13.600682650682652,11.836522580557927,23.673045161115855,32.0860733016983,73.77981387290184
firm,rows,illinois_ex_cook,40,8,-0.5457530257135197,1.2412136161576575,2.482427232315315,23.078877075719056,10.756273904361837
firm,rows,illinois_ex_cook,50,8,-5.996024558652836,0.901157367340016,1.802314734680032,10.150822555331624,17.75535652264341
firm,rows,illinois_ex_cook,60,8,7.076121591615012,4.77830582845977,9.55661165691954,32.0860733016983,29.784297901026463
firm,firms,cook_ex_chicago,40,8,-1.4547006775204756,5.816722970410481,11.633445940820963,28.94984330886505,40.18483214815383
firm,firms,cook_ex_chicago,50,8,-5.341824632792651,0.5981813843164704,1.1963627686329408,10.324746257550991,11.587333371587532
firm,firms,cook_ex_chicago,60,8,-8.256827200577199,7.383905477514764,14.767810955029528,42.00239898989899,35.159446389195494
firm,firms,illinois_ex_cook,40,8,2.156126393380575,2.6753287817305287,5.350657563461057,28.94984330886505,18.482509581744694
firm,firms,illinois_ex_cook,50,8,-6.524620798271222,0.6481670088020154,1.2963340176040308,10.324746257550991,12.555601709397541
firm,firms,illinois_ex_cook,60,8,11.41454487443923,3.4584659273233664,6.916931854646733,42.00239898989899,16.467944738847322
