data_year,geography,n_establishments,n_firms,n_parented_establishments,n_distinct_parents,share_parented
2018,chicago,105938,97421,11349,2832,0.10712869791764995
2018,cook_ex_chicago,109824,97841,14479,2496,0.13183821386946387
2018,illinois_ex_cook,336061,291523,49165,4627,0.14629784473652105
2019,chicago,112307,103653,11461,2807,0.10205062907922036
2019,cook_ex_chicago,109447,97857,14000,2410,0.1279157948596124
2019,illinois_ex_cook,335667,291510,48782,4625,0.1453285547879297
2020,chicago,111295,101521,12670,2896,0.11384159216496698
2020,cook_ex_chicago,111892,99000,15376,2484,0.1374182247166911
2020,illinois_ex_cook,334218,284879,54057,4718,0.1617417374288638
2021,chicago,115695,105692,13070,3067,0.11296944552487143
2021,cook_ex_chicago,115159,102093,15630,2564,0.13572538837607134
2021,illinois_ex_cook,341954,291275,55615,4936,0.16263883446311492
2022,chicago,123142,110513,15806,3177,0.12835588182748373
2022,cook_ex_chicago,124071,108406,18336,2671,0.1477863481393718
2022,illinois_ex_cook,359264,301917,62490,5143,0.1739389418366438
2023,chicago,131278,117696,16934,3352,0.1289934337817456
2023,cook_ex_chicago,126717,110511,19004,2798,0.14997198481655974
2023,illinois_ex_cook,372888,312905,65386,5403,0.17535023921391946
2024,chicago,139582,125253,17757,3428,0.12721554355146078
2024,cook_ex_chicago,131304,114107,20088,2891,0.1529884847377079
2024,illinois_ex_cook,387277,324197,68644,5564,0.17724780970726378
2025,chicago,139025,124676,17749,3400,0.12766768566804532
2025,cook_ex_chicago,131497,114436,19934,2873,0.15159281200331567
2025,illinois_ex_cook,388114,324947,68762,5595,0.1771695945005849
