tier,flagged_firms,firms,employees,A_per_employee,B_full_time_only
broad (no policy exemptions),kept,265,435383,153588796.557768,123946158.82211877
broad (no policy exemptions),removed,256,396425,139845696.0318,112855476.69766262
less education,kept,253,404291,142620562.008936,115094793.54121135
less education,removed,244,365333,128877461.48296799,104004111.41675518
less education + hospitals,kept,235,355060,125253485.10576001,101079562.48034833
less education + hospitals,removed,226,316102,111510384.57979201,89988880.35589215
less education + all health,kept,221,329665,116294964.70284,93850036.51519188
less education + all health,removed,215,304707,107490603.520872,86744917.0413437
"less education, health, civic",kept,214,323233,114025966.741368,92018955.16028397
"less education, health, civic",removed,208,298275,105221605.55939999,84913835.6864358
