year,geo,band,n_establishments,n_observed,n_single,employment,employment_observed
1997,chicago,1-9,85392,0,80833,279407.0,0.0
1997,chicago,10-49,16307,0,13541,308419.0,0.0
1997,chicago,100-249,1510,0,1060,212547.0,0.0
1997,chicago,1000+,121,0,54,293661.0,0.0
1997,chicago,250-499,460,0,285,146514.0,0.0
1997,chicago,50-99,2511,0,1946,160703.0,0.0
1997,chicago,500-999,185,0,97,119463.0,0.0
1997,chicago,unknown,3919,0,3524,0.0,0.0
1997,cook_ex_chicago,1-9,77121,0,70422,264519.0,0.0
1997,cook_ex_chicago,10-49,17944,0,13907,348875.0,0.0
1997,cook_ex_chicago,100-249,1576,0,991,225010.0,0.0
1997,cook_ex_chicago,1000+,79,0,37,169564.0,0.0
1997,cook_ex_chicago,250-499,384,0,194,120369.0,0.0
1997,cook_ex_chicago,50-99,2848,0,2090,180205.0,0.0
1997,cook_ex_chicago,500-999,115,0,50,72502.0,0.0
1997,cook_ex_chicago,unknown,4296,0,4003,0.0,0.0
1997,il_ex_msa,1-9,135483,0,121125,428179.0,0.0
1997,il_ex_msa,10-49,25910,0,19657,503972.0,0.0
1997,il_ex_msa,100-249,1808,0,1159,253483.0,0.0
1997,il_ex_msa,1000+,106,0,48,211988.0,0.0
1997,il_ex_msa,250-499,454,0,236,147606.0,0.0
1997,il_ex_msa,50-99,3575,0,2562,229975.0,0.0
1997,il_ex_msa,500-999,161,0,74,105754.0,0.0
1997,il_ex_msa,unknown,5024,0,4344,0.0,0.0
1997,msa_ex_cook,1-9,88787,0,81288,296582.0,0.0
1997,msa_ex_cook,10-49,18883,0,14545,364895.0,0.0
1997,msa_ex_cook,100-249,1590,0,974,227833.0,0.0
1997,msa_ex_cook,1000+,75,0,31,132060.0,0.0
1997,msa_ex_cook,250-499,373,0,182,117930.0,0.0
1997,msa_ex_cook,50-99,2865,0,2041,181904.0,0.0
1997,msa_ex_cook,500-999,125,0,55,78021.0,0.0
1997,msa_ex_cook,unknown,4093,0,3756,0.0,0.0
1998,chicago,1-9,65206,49930,61521,196000.0,159207.0
1998,chicago,10-49,13873,13774,11418,269861.0,268027.0
