naics2,firms,employees,pct_emp,revenue
62,31,73626.0,16.0,$29.2m
52,33,66806.0,14.5,$26.5m
54,22,44076.0,9.6,$17.5m
,38,38112.0,8.3,$15.1m
72,19,28656.0,6.2,$11.3m
42,12,22276.0,4.8,$8.8m
99,4,22231.0,4.8,$8.8m
23,15,21083.0,4.6,$8.3m
51,17,19740.0,4.3,$7.8m
48,13,19365.0,4.2,$7.7m
44,9,18096.0,3.9,$7.2m
92,8,14785.0,3.2,$5.9m
32,8,13454.0,2.9,$5.3m
45,6,9091.0,2.0,$3.6m
61,7,9022.0,2.0,$3.6m
31,8,7366.0,1.6,$2.9m
81,7,7211.0,1.6,$2.9m
33,9,7085.0,1.5,$2.8m
53,6,5686.0,1.2,$2.3m
71,5,5390.0,1.2,$2.1m
56,3,3612.0,0.8,$1.4m
21,2,1747.0,0.4,$0.7m
11,1,1440.0,0.3,$0.6m
55,1,1325.0,0.3,$0.5m
