company,firm_id,naics2,naics3,n_components,n_estab,emp_all,emp_clean,emp_obs,n_flagged,group,wfh_rate,emp_unadjusted,qualifies_unadjusted,emp_census,qualifies_census,emp_census_all_outside,qualifies_census_all_outside
UNIVERSITY-CHICAGO BOARD-TRSTS,820452373,61,541,1,76.0,19684.0,19684.0,18551.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,19684.0,True,19076.612185376325,True,17708.019184967336,True
NORTHWESTERN MEMORIAL HOSP,NORTHWESTERN MEMORIAL HEALTHCARE,62,622,686,790.0,15690.0,15690.0,12851.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,15690.0,True,15205.854764710148,True,14114.957377166098,True
MT SINAI HOSPITAL,SINAI CHICAGO,62,622,75,92.0,10982.0,6832.0,10668.0,49.0,"Educational services, and health care and social assistance",0.10038512573829843,10982.0,True,10643.129192227332,True,9879.570549142007,True
ADVOCATE IL MASONIC MED CTR,ADVOCATE HEALTH CARE,62,622,791,923.0,9682.0,7682.0,6493.0,1.0,"Educational services, and health care and social assistance",0.10038512573829843,9682.0,True,9383.24320152477,True,8710.071212601795,True
JOHNSTON R BOWMAN HEALTH CTR,RUSH UNIVERSITY SYSTEM,62,621,200,200.0,8533.0,533.0,8238.0,1.0,"Educational services, and health care and social assistance",0.10038512573829843,8533.0,True,8269.69781435766,True,7676.4137220751,True
UNITED AIRLINES HOLDINGS INC,007538044,54,481,1,5.0,8146.0,8146.0,8000.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,8146.0,True,7369.565418573029,True,5620.068790829819,True
MCDONALD'S CORP,001682400,42,722,1,113.0,7924.0,7924.0,7431.0,0.0,Wholesale trade,0.1625466740423178,7924.0,True,7528.081399494175,True,6635.9801548886735,True
JEWEL-OSCO,005995907,44,445,1,69.0,7241.0,7241.0,6162.0,0.0,Retail trade,0.09332612079434856,7241.0,True,7033.27674804553,True,6565.2255593281225,True
CNA FINANCIAL CORP,433090792,52,524,1,8.0,7212.0,7212.0,7085.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,7212.0,True,6595.13215298309,True,5205.178325661444,True
HEALTH CARE SVC CORP,507636348,52,524,1,4.0,7063.0,7063.0,7001.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,7063.0,True,6458.876649545142,True,5097.639283714196,True
BAKER & MCKENZIE LLP,424821023,54,541,1,3.0,7008.0,7008.0,7005.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,7008.0,True,6340.03369179472,True,4834.942559064002,True
STATE STREET GLOBAL ADVISORS,107286601,52,523,1,1.0,7000.0,0.0,7000.0,1.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,7000.0,True,6401.265262185472,True,5052.169755910997,True
ACCENTURE LIMITED,402852537,51,541,1,3.0,6405.0,6405.0,6400.0,0.0,Information,0.29816404791801,6405.0,True,5817.973426769093,True,4495.259273085147,True
BMO FINANCIAL CORP,412706689,52,551,1,34.0,6339.0,6339.0,6256.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,6339.0,True,5796.802928141959,True,4575.100583245687,True
NORTHERN TRUST CORP,424806438,52,551,1,7.0,6048.0,6048.0,6021.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,6048.0,True,5530.693186528249,True,4365.074669107102,True
EXELON CORP,552852329,23,221,1,4.0,6027.0,6027.0,6000.0,0.0,Construction,0.08411530495864025,6027.0,True,5871.166951575288,True,5520.037057014275,True
CHICAGO MARRIOTT DOWNTOWN,400857322,72,721,1,39.0,5950.0,5950.0,4942.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,5950.0,True,5823.324770152592,True,5537.89455782313,True
UI HEALTH,UI HEALTH,62,622,9,58.0,5936.0,5936.0,4958.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,5936.0,True,5752.83326216185,True,5340.11389361746,True
MERRY MAIDS,214490476,32,238,1,583.0,5918.0,0.0,3927.0,1.0,Manufacturing,0.11379548024349065,5918.0,True,5710.993813390207,True,5244.558347919023,True
UNITED STATES POSTAL SVC,801175985,48,491,1,2187.0,5161.0,5161.0,4892.0,0.0,"Transportation and warehousing, and utilities",0.07896904951528301,5161.0,True,5035.722199152739,True,4753.440735451624,True
DELOITTE,001122381,52,541,1,2.0,5006.0,5006.0,5000.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,5006.0,True,4577.81912892864,True,3613.0231140129217,True
ODYSSEY CRUISES CHICAGO,726216376,56,561,1,1.0,5000.0,0.0,5000.0,1.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,5000.0,True,4523.425864579565,True,3449.5880130308237,True
PALMER HOUSE A HILTON HOTEL,434496131,72,721,1,33.0,4659.0,4659.0,4282.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,4659.0,True,4559.81010153629,True,4336.3110495626825,True
ANN-ROBERT H LURIE CHILDREN'S,LURIE CHILDREN'S,62,622,107,112.0,4159.0,4159.0,4031.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,4159.0,True,4030.666027178426,True,3741.498262054417,True
CHARMS CO,009382458,42,311,1,7.0,4083.0,4083.0,3900.0,0.0,Wholesale trade,0.1625466740423178,4083.0,True,3878.99499673583,True,3419.3219298852164,True
CITY COLLEGES-CHICAGO-HARRY S,754680184,61,611,1,14.0,4078.0,4078.0,3927.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,4078.0,True,3952.1654385269585,True,3668.629457239219,True
DLA PIPER LLP,001174812,54,541,1,1.0,4036.0,0.0,4036.0,1.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,4036.0,True,3651.3093578886255,True,2784.5074441184806,True
TARGET,002937415,44,452,1,24.0,3780.0,3780.0,2259.0,0.0,Retail trade,0.09332612079434856,3780.0,True,3671.562782435037,True,3427.2272633973625,True
HYATT REGENCY CHICAGO,441363611,72,721,1,19.0,3756.0,3756.0,3474.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,3756.0,True,3676.0349305366612,True,3495.854110787172,True
MAYER BROWN,001330802,54,541,1,4.0,3645.0,3645.0,3501.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,3645.0,True,3297.5774552785033,True,2514.7496614994707,True
MARIANO'S,007521503,42,445,1,39.0,3434.0,3434.0,1331.0,0.0,Wholesale trade,0.1625466740423178,3434.0,True,3262.421949250757,True,2875.8147213386806,True
LEO BURNETT CO INC,004557500,54,541,1,2.0,3254.0,3254.0,3254.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,3254.0,True,2943.8455526683815,True,2244.99187888046,True
ST MARY OF NAZARETH HOSPITAL,400827357,62,622,1,11.0,3168.0,3168.0,3044.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,3168.0,True,3070.2452450351657,True,2849.9799216610704,True
WALGREENS,007539588,45,446,1,117.0,2942.0,2942.0,2448.0,0.0,Retail trade,0.09332612079434856,2942.0,True,2857.60256770473,True,2667.4345526230263,True
BANK OF AMERICA,007526478,52,522,1,74.0,2894.0,2894.0,2601.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,2894.0,True,2646.46595268068,True,2088.7113248009177,True
STARBUCKS,303651459,54,722,1,185.0,2423.0,2423.0,1353.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,2423.0,True,2192.0521739752576,True,1671.670351114737,True
AMTRAK MARKETING DEPT,801407271,48,485,1,3.0,2418.0,2418.0,2400.0,0.0,"Transportation and warehousing, and utilities",0.07896904951528301,2418.0,True,2359.3056147163966,True,2227.052838272046,True
ASCENSION ST JOSEPH-CHICAGO,467049706,62,622,1,25.0,2412.0,2412.0,2145.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,2412.0,True,2337.5730842881376,True,2169.871076719224,True
HOME DEPOT,007556426,23,444,1,23.0,2199.0,2199.0,1691.0,0.0,Construction,0.08411530495864025,2199.0,True,2142.1430440541,True,2014.03044439595,True
LOYOLA UNIVERSITY CHICAGO,738425337,71,611,1,10.0,2173.0,2173.0,2007.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,2173.0,True,2126.7369286624507,True,2022.4949368318755,True
QUAKER OATS CO,007529209,31,311,1,3.0,2172.0,2172.0,2100.0,0.0,Manufacturing,0.11379548024349065,2172.0,True,2096.0254414808264,True,1924.8362169111383,True
SHAW'S CRAB HOUSE,151554573,72,722,1,43.0,2077.0,2077.0,1486.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,2077.0,True,2032.780764303686,True,1933.1440330417881,True
UBS FINANCIAL SVC,007528383,52,523,1,13.0,2071.0,2071.0,2000.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,2071.0,True,1893.8600511408733,True,1494.7205092130962,True
US GENERAL SVC ADMINISTRATION,470448572,54,921,1,2.0,2013.0,2013.0,2000.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,2013.0,True,1821.1312530797331,True,1388.8041340462096,True
INSUREON,404702791,52,524,1,1.0,2004.0,0.0,2004.0,1.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,2004.0,True,1832.5907979170981,True,1446.3640272636626,True
UNITED CENTER,417443926,71,711,1,1.0,2000.0,2000.0,2000.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,2000.0,True,1957.4200908075939,True,1861.4771622934888,True
S & C ELECTRIC CO,009317371,23,423,1,1.0,2000.0,2000.0,2000.0,0.0,Construction,0.08411530495864025,2000.0,True,1948.2883529368803,True,1831.7693900827194,True
SP PLUS CORP,804424223,56,812,1,299.0,1982.0,1982.0,454.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,1982.0,True,1793.0860127193398,True,1367.4166883654184,True
WHOLE FOODS MARKET,886012012,44,445,1,263.0,1960.0,1960.0,1664.0,0.0,Retail trade,0.09332612079434856,1960.0,True,1903.7732945959453,True,1777.0808032430768,True
JONES LANG LASALLE INC,820154003,52,531,1,20.0,1919.0,1919.0,1842.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1919.0,True,1754.861148304846,True,1385.0162516561718,True
MACY'S,004586681,45,452,1,12.0,1916.0,1916.0,1830.0,0.0,Retail trade,0.09332612079434856,1916.0,True,1861.0355267580771,True,1737.1871525580282,True
DDB CHICAGO,004630315,54,541,1,19.0,1826.0,1826.0,1408.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,1826.0,True,1651.9551257444573,True,1259.7895423588568,True
TEMPEL STEEL CO,009287483,33,238,1,1.0,1800.0,1800.0,1800.0,0.0,Manufacturing,0.11379548024349065,1800.0,True,1737.0376586857676,True,1595.1681355617168,True
INTERCONTINENTAL CHICAGO,510184948,48,721,1,13.0,1786.0,1786.0,1747.0,0.0,"Transportation and warehousing, and utilities",0.07896904951528301,1786.0,True,1742.6467443686868,True,1644.9612775657044,True
MARSH & MC LENNAN AGENCY,806920021,52,524,1,8.0,1735.0,1735.0,1620.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1735.0,True,1586.5993185559707,True,1252.2163609293684,True
PRICEWATERHOUSE COOPERS,006407589,52,523,1,3.0,1714.0,1714.0,1700.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1714.0,True,1567.3955227694144,True,1237.0598516616355,True
DART CONTAINER SOLO,009450149,32,322,1,1.0,1700.0,1700.0,1700.0,0.0,Manufacturing,0.11379548024349065,1700.0,True,1640.5355665365585,True,1506.547683586066,True
BAGCRAFT PACKAGING,403476608,32,322,1,129.0,1684.0,1684.0,984.0,0.0,Manufacturing,0.11379548024349065,1684.0,True,1625.095231792685,True,1492.3684112699618,True
INSIGHT HOSPITAL & MEDICAL CTR,401637651,62,622,1,10.0,1675.0,1675.0,1613.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,1675.0,True,1623.314641866762,True,1506.8549143883502,True
SUN-TIMES MEDIA HOLDINGS LLC,900703026,54,511,1,4.0,1648.0,1648.0,1642.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,1648.0,True,1490.9211649654249,True,1136.9842090949596,True
CIRCANA INC,457910685,51,541,1,16.0,1608.0,1608.0,1564.0,0.0,Information,0.29816404791801,1608.0,True,1460.6247104207182,True,1128.55221094784,True
NORTHEASTERN IL UNIV FNDTN,742688354,81,541,1,5.0,1553.0,1553.0,1527.0,0.0,Other services (except public administration),0.13723383599767006,1553.0,True,1487.4887313227266,True,1339.8758526956185,True
