unit,sample,emp,n_2011,n_2025
establishment,all,44,14,44
establishment,all,45,325,172
establishment,all,46,12,57
establishment,all,47,19,56
establishment,all,48,31,51
establishment,all,49,33,77
establishment,all,50,724,591
establishment,all,51,13,80
establishment,all,52,20,38
establishment,all,53,12,37
establishment,all,54,19,48
establishment,all,55,105,104
establishment,all,56,16,40
establishment,observed,44,14,10
establishment,observed,45,171,141
establishment,observed,46,8,11
establishment,observed,47,19,14
establishment,observed,48,31,13
establishment,observed,49,33,40
establishment,observed,50,721,551
establishment,observed,51,13,54
establishment,observed,52,20,19
establishment,observed,53,8,10
establishment,observed,54,19,17
establishment,observed,55,100,79
establishment,observed,56,16,13
firm,all,44,16,42
firm,all,45,293,124
firm,all,46,11,42
firm,all,47,16,51
firm,all,48,26,39
firm,all,49,34,72
firm,all,50,610,465
firm,all,51,15,68
firm,all,52,21,37
firm,all,53,12,38
firm,all,54,17,43
firm,all,55,92,85
firm,all,56,13,37
firm,observed,44,13,6
firm,observed,45,137,92
firm,observed,46,8,7
firm,observed,47,12,10
firm,observed,48,25,10
firm,observed,49,33,36
firm,observed,50,606,426
firm,observed,51,10,47
firm,observed,52,16,14
firm,observed,53,7,10
firm,observed,54,14,11
firm,observed,55,79,55
firm,observed,56,11,9
