year,geography,establishments,establishments_with_employment,total_employment,median_employment,share_actual_headcount,distinct_parents,estabs_ge_50,employment_ge_50,estabs_ge_500,employment_ge_500,mass_at_50,spike_ratio_50,spike_ratio_50_from_below,mass_at_500,spike_ratio_500,sample,mass_at_40,spike_ratio_40,spike_ratio_40_from_below,mass_at_60,spike_ratio_60,spike_ratio_60_from_below,spike_ratio_500_from_below
2018,chicago,41076,41076,1150159.0,5.0,1.0,2054,3779,845328.0,295,449854.0,611,35.941,35.941,57,,actual,423.0,23.5,18.8,275.0,36.667,32.353,
2018,cook_ex_chicago,46845,46845,1014363.0,6.0,1.0,1885,4066,656360.0,172,235360.0,796,43.027,43.027,37,,actual,530.0,19.63,19.63,324.0,38.118,29.455,
2018,illinois_ex_cook,167200,167200,3028177.0,5.0,1.0,3873,11579,1824275.0,471,649489.0,2048,25.761,28.055,76,,actual,1542.0,17.523,14.018,931.0,23.57,22.988,
2018,chicago,105938,96084,1422987.0,4.0,0.3877,2832,4156,878161.0,295,449854.0,692,31.455,30.756,57,,all,471.0,23.55,18.84,296.0,32.889,28.19,
2018,cook_ex_chicago,109824,102045,1314748.0,4.0,0.4265,2496,4529,695162.0,172,235360.0,905,29.194,29.194,37,,all,621.0,20.7,19.406,365.0,26.071,20.857,
2018,illinois_ex_cook,336061,313822,3853257.0,4.0,0.4975,4627,12942,1970469.0,507,680450.0,2270,23.646,23.646,81,,all,1794.0,15.737,13.643,1069.0,22.271,18.92,
2019,chicago,41360,41360,1119819.0,5.0,1.0,1980,3701,815613.0,281,429938.0,598,36.242,38.581,52,,actual,439.0,27.438,21.415,280.0,35.0,32.941,
2019,cook_ex_chicago,45200,45200,1012572.0,6.0,1.0,1803,3962,664655.0,171,256759.0,776,39.795,39.795,36,,actual,513.0,18.655,18.321,311.0,38.875,31.1,
2019,illinois_ex_cook,163687,163687,2946300.0,5.0,1.0,3824,11344,1759787.0,461,609116.0,2015,27.986,27.793,82,,actual,1536.0,18.506,14.288,926.0,24.052,23.15,
2019,chicago,112307,101750,1423332.0,4.0,0.3683,2807,4092,850963.0,281,429938.0,681,32.429,31.674,52,,all,486.0,27.771,21.13,299.0,29.9,28.476,
2019,cook_ex_chicago,109447,101103,1319740.0,4.0,0.413,2410,4433,703956.0,171,256759.0,893,29.767,29.767,36,,all,605.0,20.167,18.906,348.0,29.0,19.333,
2019,illinois_ex_cook,335667,311811,3793569.0,4.0,0.4876,4625,12766,1916832.0,505,645887.0,2238,23.435,23.435,87,,all,1790.0,15.911,13.21,1058.0,22.274,19.413,
2020,chicago,39709,39709,1068330.0,5.0,1.0,2027,3590,772989.0,269,397905.0,582,37.548,37.548,48,,actual,428.0,27.613,19.907,286.0,33.647,28.6,
2020,cook_ex_chicago,43877,43877,973346.0,6.0,1.0,1832,3881,631996.0,161,233206.0,761,41.135,41.135,33,,actual,512.0,19.321,18.963,300.0,37.5,30.0,
2020,illinois_ex_cook,157607,157607,2907913.0,5.0,1.0,3886,11138,1750522.0,458,622229.0,1983,27.734,29.162,84,,actual,1537.0,18.975,15.143,923.0,25.288,24.946,
2020,chicago,111295,101830,1381744.0,4.0,0.3568,2896,4000,809226.0,269,397905.0,669,31.857,31.857,48,,all,480.0,29.091,20.426,305.0,26.522,25.417,
2020,cook_ex_chicago,111892,103904,1298049.0,4.0,0.3921,2484,4348,671674.0,161,233206.0,878,30.276,30.276,33,,all,616.0,21.614,20.197,333.0,28.957,19.588,
